phase,param_name,param_value,budget,collect_rows,first_ro,budget_frac,miss_thresh,activation,avg_time_s
P2,budget,4MB,4194304,2000000,1,0.02,0.10,1310720,6.586
P2,budget,8MB,8388608,2000000,1,0.02,0.10,1310720,5.388
P2,budget,16MB,16777216,2000000,1,0.02,0.10,1310720,3.863
P2,budget,24MB,25165824,2000000,1,0.02,0.10,1310720,3.159
P2,budget,32MB,33554432,2000000,1,0.02,0.10,1310720,3.141
P2,budget,48MB,50331648,2000000,1,0.02,0.10,1310720,3.247
P2,budget,64MB,67108864,2000000,1,0.02,0.10,1310720,3.095
P2,budget,128MB,134217728,2000000,1,0.02,0.10,1310720,3.248
P2,budget,256MB,268435456,2000000,1,0.02,0.10,1310720,3.321
P3,first_ro,1,67108864,2000000,1,0.02,0.10,1310720,3.121
P3,first_ro,10,67108864,2000000,10,0.02,0.10,1310720,3.112
P3,first_ro,100,67108864,2000000,100,0.02,0.10,1310720,3.110
P3,first_ro,1000,67108864,2000000,1000,0.02,0.10,1310720,3.055
P3,first_ro,10000,67108864,2000000,10000,0.02,0.10,1310720,3.118
P3,first_ro,100000,67108864,2000000,100000,0.02,0.10,1310720,3.188
P3,first_ro,1000000,67108864,2000000,1000000,0.02,0.10,1310720,3.230
P3,first_ro,10000000,67108864,2000000,10000000,0.02,0.10,1310720,3.240
P3,first_ro,999999999,67108864,2000000,999999999,0.02,0.10,1310720,3.206
P4,budget_frac,0.005,67108864,2000000,1000,0.005,0.10,1310720,3.229
P4,budget_frac,0.01,67108864,2000000,1000,0.01,0.10,1310720,3.226
P4,budget_frac,0.02,67108864,2000000,1000,0.02,0.10,1310720,3.188
P4,budget_frac,0.05,67108864,2000000,1000,0.05,0.10,1310720,3.134
P4,budget_frac,0.10,67108864,2000000,1000,0.10,0.10,1310720,3.240
P4,budget_frac,0.25,67108864,2000000,1000,0.25,0.10,1310720,3.128
P4,budget_frac,0.50,67108864,2000000,1000,0.50,0.10,1310720,3.219
P4,budget_frac,1.00,67108864,2000000,1000,1.00,0.10,1310720,3.164
P5,miss_thresh,0.01,67108864,2000000,1000,0.25,0.01,1310720,3.236
P5,miss_thresh,0.05,67108864,2000000,1000,0.25,0.05,1310720,3.235
P5,miss_thresh,0.10,67108864,2000000,1000,0.25,0.10,1310720,3.120
P5,miss_thresh,0.20,67108864,2000000,1000,0.25,0.20,1310720,3.144
P5,miss_thresh,0.50,67108864,2000000,1000,0.25,0.50,1310720,3.194
P5,miss_thresh,1.00,67108864,2000000,1000,0.25,1.00,1310720,3.177
P6,activation,1,67108864,2000000,1000,0.25,0.10,1,3.094
P6,activation,1000,67108864,2000000,1000,0.25,0.10,1000,3.230
P6,activation,10000,67108864,2000000,1000,0.25,0.10,10000,3.198
P6,activation,100000,67108864,2000000,1000,0.25,0.10,100000,3.249
P6,activation,500000,67108864,2000000,1000,0.25,0.10,500000,3.237
P6,activation,1000000,67108864,2000000,1000,0.25,0.10,1000000,3.195
P6,activation,1310720,67108864,2000000,1000,0.25,0.10,1310720,3.140
P7,collect,500000,67108864,500000,1000,0.25,0.10,1,3.513
P7,collect,1000000,67108864,1000000,1000,0.25,0.10,1,3.330
P7,collect,1500000,67108864,1500000,1000,0.25,0.10,1,3.163
P7,collect,2000000,67108864,2000000,1000,0.25,0.10,1,3.156
P7,collect,2500000,67108864,2500000,1000,0.25,0.10,1,3.286
P7,collect,3000000,67108864,3000000,1000,0.25,0.10,1,3.250
P7,collect,4000000,67108864,4000000,1000,0.25,0.10,1,3.348
P7,collect,6000000,67108864,6000000,1000,0.25,0.10,1,3.525
P8,budget,56MB,58720256,2000000,1000,0.25,0.10,1,3.185
P8,budget,60MB,62914560,2000000,1000,0.25,0.10,1,3.168
P8,budget,64MB,67108864,2000000,1000,0.25,0.10,1,3.139
P8,budget,68MB,71303168,2000000,1000,0.25,0.10,1,3.198
P8,budget,72MB,75497472,2000000,1000,0.25,0.10,1,3.199
P8,budget,76MB,79691776,2000000,1000,0.25,0.10,1,3.248
P8,budget,80MB,83886080,2000000,1000,0.25,0.10,1,3.209
FINAL,best,all,67108864,2000000,1000,0.25,0.10,1,3.214
