phase,param_name,param_value,budget,collect_rows,first_ro,budget_frac,miss_thresh,activation,avg_time_s
P2,budget,16MB,16777216,1000000,1000000,1.00,1.00,10000,0.589
P2,budget,24MB,25165824,1000000,1000000,1.00,1.00,10000,0.570
P2,budget,32MB,33554432,1000000,1000000,1.00,1.00,10000,0.564
P2,budget,48MB,50331648,1000000,1000000,1.00,1.00,10000,0.583
P2,budget,64MB,67108864,1000000,1000000,1.00,1.00,10000,0.578
P2,budget,128MB,134217728,1000000,1000000,1.00,1.00,10000,0.611
P2,budget,256MB,268435456,1000000,1000000,1.00,1.00,10000,0.659
P3,first_ro,1,33554432,1000000,1,1.00,1.00,10000,0.559
P3,first_ro,1000,33554432,1000000,1000,1.00,1.00,10000,0.548
P3,first_ro,10000,33554432,1000000,10000,1.00,1.00,10000,0.552
P3,first_ro,100000,33554432,1000000,100000,1.00,1.00,10000,0.550
P3,first_ro,1000000,33554432,1000000,1000000,1.00,1.00,10000,0.547
P3,first_ro,10000000,33554432,1000000,10000000,1.00,1.00,10000,0.551
P3,first_ro,999999999,33554432,1000000,999999999,1.00,1.00,10000,0.554
P4,budget_frac,0.10,33554432,1000000,1000000,0.10,1.00,10000,0.564
P4,budget_frac,0.25,33554432,1000000,1000000,0.25,1.00,10000,0.551
P4,budget_frac,0.50,33554432,1000000,1000000,0.50,1.00,10000,0.564
P4,budget_frac,1.00,33554432,1000000,1000000,1.00,1.00,10000,0.572
P5,miss_thresh,0.01,33554432,1000000,1000000,0.25,0.01,10000,0.555
P5,miss_thresh,0.05,33554432,1000000,1000000,0.25,0.05,10000,0.553
P5,miss_thresh,0.10,33554432,1000000,1000000,0.25,0.10,10000,0.550
P6,activation,10000,33554432,1000000,1000000,0.25,0.10,10000,0.569
P6,activation,100000,33554432,1000000,1000000,0.25,0.10,100000,0.567
P6,activation,1000000,33554432,1000000,1000000,0.25,0.10,1000000,0.561
P7,collect,10000,33554432,10000,1000000,0.25,0.10,1000000,0.673
P7,collect,50000,33554432,50000,1000000,0.25,0.10,1000000,0.660
P7,collect,100000,33554432,100000,1000000,0.25,0.10,1000000,0.630
P7,collect,250000,33554432,250000,1000000,0.25,0.10,1000000,0.615
P7,collect,500000,33554432,500000,1000000,0.25,0.10,1000000,0.588
P7,collect,1000000,33554432,1000000,1000000,0.25,0.10,1000000,0.563
P7,collect,1500000,33554432,1500000,1000000,0.25,0.10,1000000,0.600
P7,collect,2000000,33554432,2000000,1000000,0.25,0.10,1000000,0.629
P8,budget,24MB,25165824,1000000,1000000,0.25,0.10,1000000,0.581
P8,budget,28MB,29360128,1000000,1000000,0.25,0.10,1000000,0.564
P8,budget,32MB,33554432,1000000,1000000,0.25,0.10,1000000,0.565
P8,budget,36MB,37748736,1000000,1000000,0.25,0.10,1000000,0.554
P8,budget,40MB,41943040,1000000,1000000,0.25,0.10,1000000,0.572
P8,budget,44MB,46137344,1000000,1000000,0.25,0.10,1000000,0.565
P8,budget,48MB,50331648,1000000,1000000,0.25,0.10,1000000,0.584
FINAL,best,all,37748736,1000000,1000000,0.25,0.10,1000000,0.551
