phase,param_name,param_value,budget,collect_rows,first_ro,budget_frac,miss_thresh,activation,avg_time_s
P2,budget,4MB,4194304,2000000,1,0.02,0.10,1310720,0.606
P2,budget,8MB,8388608,2000000,1,0.02,0.10,1310720,0.579
P2,budget,16MB,16777216,2000000,1,0.02,0.10,1310720,0.589
P2,budget,24MB,25165824,2000000,1,0.02,0.10,1310720,0.573
P2,budget,32MB,33554432,2000000,1,0.02,0.10,1310720,0.574
P2,budget,48MB,50331648,2000000,1,0.02,0.10,1310720,0.581
P2,budget,64MB,67108864,2000000,1,0.02,0.10,1310720,0.596
P2,budget,128MB,134217728,2000000,1,0.02,0.10,1310720,0.591
P2,budget,256MB,268435456,2000000,1,0.02,0.10,1310720,0.579
P3,first_ro,1,25165824,2000000,1,0.02,0.10,1310720,0.588
P3,first_ro,10,25165824,2000000,10,0.02,0.10,1310720,0.589
P3,first_ro,100,25165824,2000000,100,0.02,0.10,1310720,0.597
P3,first_ro,1000,25165824,2000000,1000,0.02,0.10,1310720,0.579
P3,first_ro,10000,25165824,2000000,10000,0.02,0.10,1310720,0.585
P3,first_ro,100000,25165824,2000000,100000,0.02,0.10,1310720,0.575
P3,first_ro,1000000,25165824,2000000,1000000,0.02,0.10,1310720,0.591
P3,first_ro,10000000,25165824,2000000,10000000,0.02,0.10,1310720,0.585
P3,first_ro,999999999,25165824,2000000,999999999,0.02,0.10,1310720,0.579
P4,budget_frac,0.005,25165824,2000000,100000,0.005,0.10,1310720,0.581
P4,budget_frac,0.01,25165824,2000000,100000,0.01,0.10,1310720,0.589
P4,budget_frac,0.02,25165824,2000000,100000,0.02,0.10,1310720,0.587
P4,budget_frac,0.05,25165824,2000000,100000,0.05,0.10,1310720,0.599
P4,budget_frac,0.10,25165824,2000000,100000,0.10,0.10,1310720,0.590
P4,budget_frac,0.25,25165824,2000000,100000,0.25,0.10,1310720,0.592
P4,budget_frac,0.50,25165824,2000000,100000,0.50,0.10,1310720,0.602
P4,budget_frac,1.00,25165824,2000000,100000,1.00,0.10,1310720,0.588
P5,miss_thresh,0.01,25165824,2000000,100000,0.005,0.01,1310720,0.600
P5,miss_thresh,0.05,25165824,2000000,100000,0.005,0.05,1310720,0.593
P5,miss_thresh,0.10,25165824,2000000,100000,0.005,0.10,1310720,0.593
P5,miss_thresh,0.20,25165824,2000000,100000,0.005,0.20,1310720,0.578
P5,miss_thresh,0.50,25165824,2000000,100000,0.005,0.50,1310720,0.589
P5,miss_thresh,1.00,25165824,2000000,100000,0.005,1.00,1310720,0.575
P6,activation,1,25165824,2000000,100000,0.005,1.00,1,0.576
P6,activation,1000,25165824,2000000,100000,0.005,1.00,1000,0.587
P6,activation,10000,25165824,2000000,100000,0.005,1.00,10000,0.602
P6,activation,100000,25165824,2000000,100000,0.005,1.00,100000,0.577
P6,activation,500000,25165824,2000000,100000,0.005,1.00,500000,0.581
P6,activation,1000000,25165824,2000000,100000,0.005,1.00,1000000,0.577
P6,activation,1310720,25165824,2000000,100000,0.005,1.00,1310720,0.589
P7,collect,500000,25165824,500000,100000,0.005,1.00,1,0.592
P7,collect,1000000,25165824,1000000,100000,0.005,1.00,1,0.587
P7,collect,1500000,25165824,1500000,100000,0.005,1.00,1,0.589
P7,collect,2000000,25165824,2000000,100000,0.005,1.00,1,0.580
P7,collect,2500000,25165824,2500000,100000,0.005,1.00,1,0.590
P7,collect,3000000,25165824,3000000,100000,0.005,1.00,1,0.585
P7,collect,4000000,25165824,4000000,100000,0.005,1.00,1,0.576
P7,collect,6000000,25165824,6000000,100000,0.005,1.00,1,0.572
P8,budget,16MB,16777216,6000000,100000,0.005,1.00,1,0.575
P8,budget,20MB,20971520,6000000,100000,0.005,1.00,1,0.581
P8,budget,24MB,25165824,6000000,100000,0.005,1.00,1,0.572
P8,budget,28MB,29360128,6000000,100000,0.005,1.00,1,0.577
P8,budget,32MB,33554432,6000000,100000,0.005,1.00,1,0.575
P8,budget,36MB,37748736,6000000,100000,0.005,1.00,1,0.572
P8,budget,40MB,41943040,6000000,100000,0.005,1.00,1,0.584
FINAL,best,all,25165824,6000000,100000,0.005,1.00,1,0.586
