query,case,seed,runtime_seconds
rs,1,0,0.651000
rs,1,1,0.639000
rs,1,2,0.633000
rs,1,3,0.654000
rs,1,4,0.667000
rs,1,5,0.647000
rs,1,6,0.640000
rs,1,7,0.634000
rs,1,8,0.665000
rs,1,9,0.667000
rs,2,0,0.977000
rs,2,1,0.976000
rs,2,2,1.002000
rs,2,3,0.946000
rs,2,4,0.949000
rs,2,5,0.982000
rs,2,6,0.968000
rs,2,7,0.949000
rs,2,8,0.973000
rs,2,9,0.955000
rs,3,0,0.983000
rs,3,1,0.980000
rs,3,2,0.986000
rs,3,3,0.951000
rs,3,4,0.984000
rs,3,5,0.996000
rs,3,6,1.013000
rs,3,7,0.984000
rs,3,8,0.975000
rs,3,9,0.967000
rs,4,0,0.573000
rs,4,1,0.567000
rs,4,2,0.555000
rs,4,3,0.552000
rs,4,4,0.569000
rs,4,5,0.564000
rs,4,6,0.584000
rs,4,7,0.569000
rs,4,8,0.541000
rs,4,9,0.562000
