query,case,seed,runtime_seconds
1a,1,0,0.69
1b,1,0,0.41
1c,1,0,0.34
1d,1,0,0.51
2a,1,0,0.77
2b,1,0,0.79
2c,1,0,0.78
3a,1,0,1.79
3b,1,0,1.17
3c,1,0,2.05
4a,1,0,0.48
4b,1,0,0.31
5a,1,0,1.66
5b,1,0,1.18
5c,1,0,1.91
6a,1,0,0.81
6b,1,0,0.72
6d,1,0,0.95
10a,1,0,1.61
10b,1,0,1.48
10c,1,0,2.35
15a,1,0,1.27
15b,1,0,1.19
15c,1,0,1.35
15d,1,0,1.20
24a,1,0,3.24
24b,1,0,3.08
1a,1,1,0.68
1b,1,1,0.39
1c,1,1,0.33
1d,1,1,0.50
2a,1,1,0.79
2b,1,1,0.82
2c,1,1,0.81
3a,1,1,1.77
3b,1,1,1.18
3c,1,1,2.05
4a,1,1,0.59
4b,1,1,0.33
5a,1,1,1.65
5b,1,1,1.17
5c,1,1,1.90
6a,1,1,0.81
6b,1,1,0.73
6d,1,1,0.97
10a,1,1,1.59
10b,1,1,1.47
10c,1,1,2.37
15a,1,1,1.28
15b,1,1,1.18
15c,1,1,1.37
15d,1,1,1.19
24a,1,1,3.16
24b,1,1,3.02
1a,1,2,0.70
1b,1,2,0.41
1c,1,2,0.32
1d,1,2,0.51
2a,1,2,0.81
2b,1,2,0.81
2c,1,2,0.79
3a,1,2,1.81
3b,1,2,1.16
3c,1,2,2.06
4a,1,2,0.53
4b,1,2,0.36
5a,1,2,1.69
5b,1,2,1.20
5c,1,2,1.97
6a,1,2,0.80
6b,1,2,0.72
6d,1,2,0.96
10a,1,2,1.59
10b,1,2,1.45
10c,1,2,2.39
15a,1,2,1.28
15b,1,2,1.16
15c,1,2,1.34
15d,1,2,1.16
24a,1,2,3.17
24b,1,2,3.07
1a,1,3,0.70
1b,1,3,0.41
1c,1,3,0.33
1d,1,3,0.52
2a,1,3,0.79
2b,1,3,0.79
2c,1,3,0.77
3a,1,3,1.78
3b,1,3,1.16
3c,1,3,2.05
4a,1,3,0.45
4b,1,3,0.31
5a,1,3,1.70
5b,1,3,1.21
5c,1,3,1.99
6a,1,3,0.80
6b,1,3,0.71
6d,1,3,0.95
10a,1,3,1.58
10b,1,3,1.47
10c,1,3,2.35
15a,1,3,1.30
15b,1,3,1.18
15c,1,3,1.37
15d,1,3,1.17
24a,1,3,3.22
24b,1,3,2.98
1a,1,4,0.67
1b,1,4,0.42
1c,1,4,0.34
1d,1,4,0.53
2a,1,4,0.80
2b,1,4,0.84
2c,1,4,0.82
3a,1,4,1.77
3b,1,4,1.18
3c,1,4,2.06
4a,1,4,0.66
4b,1,4,0.33
5a,1,4,1.67
5b,1,4,1.17
5c,1,4,1.95
6a,1,4,0.80
6b,1,4,0.71
6d,1,4,0.94
10a,1,4,1.59
10b,1,4,1.45
10c,1,4,2.31
15a,1,4,1.28
15b,1,4,1.18
15c,1,4,1.35
15d,1,4,1.17
24a,1,4,3.22
24b,1,4,3.09
1a,1,5,0.69
1b,1,5,0.41
1c,1,5,0.32
1d,1,5,0.53
2a,1,5,0.80
2b,1,5,0.80
2c,1,5,0.79
3a,1,5,1.79
3b,1,5,1.16
3c,1,5,2.06
4a,1,5,0.66
4b,1,5,0.35
5a,1,5,1.67
5b,1,5,1.19
5c,1,5,1.94
6a,1,5,0.80
6b,1,5,0.73
6d,1,5,0.96
10a,1,5,1.57
10b,1,5,1.44
10c,1,5,2.40
15a,1,5,1.26
15b,1,5,1.16
15c,1,5,1.37
15d,1,5,1.20
24a,1,5,3.08
24b,1,5,3.01
1a,1,6,0.70
1b,1,6,0.41
1c,1,6,0.33
1d,1,6,0.52
2a,1,6,0.80
2b,1,6,0.79
2c,1,6,0.79
3a,1,6,1.80
3b,1,6,1.17
3c,1,6,2.16
4a,1,6,0.45
4b,1,6,0.32
5a,1,6,1.69
5b,1,6,1.21
5c,1,6,1.97
6a,1,6,0.81
6b,1,6,0.72
6d,1,6,0.95
10a,1,6,1.59
10b,1,6,1.48
10c,1,6,2.31
15a,1,6,1.29
15b,1,6,1.18
15c,1,6,1.36
15d,1,6,1.18
24a,1,6,3.21
24b,1,6,3.06
1a,1,7,0.72
1b,1,7,0.42
1c,1,7,0.34
1d,1,7,0.54
2a,1,7,0.80
2b,1,7,0.80
2c,1,7,0.78
3a,1,7,1.76
3b,1,7,1.18
3c,1,7,2.07
4a,1,7,0.70
4b,1,7,0.34
5a,1,7,1.65
5b,1,7,1.16
5c,1,7,1.88
6a,1,7,0.81
6b,1,7,0.71
6d,1,7,0.97
10a,1,7,1.62
10b,1,7,1.44
10c,1,7,2.35
15a,1,7,1.24
15b,1,7,1.19
15c,1,7,1.37
15d,1,7,1.18
24a,1,7,3.12
24b,1,7,2.99
1a,1,8,0.68
1b,1,8,0.41
1c,1,8,0.32
1d,1,8,0.52
2a,1,8,0.80
2b,1,8,0.80
2c,1,8,0.81
3a,1,8,1.79
3b,1,8,1.18
3c,1,8,2.19
4a,1,8,0.63
4b,1,8,0.35
5a,1,8,1.70
5b,1,8,1.18
5c,1,8,1.94
6a,1,8,0.80
6b,1,8,0.72
6d,1,8,0.95
10a,1,8,1.62
10b,1,8,1.45
10c,1,8,2.29
15a,1,8,1.27
15b,1,8,1.16
15c,1,8,1.34
15d,1,8,1.18
24a,1,8,3.19
24b,1,8,3.09
1a,1,9,0.68
1b,1,9,0.40
1c,1,9,0.33
1d,1,9,0.52
2a,1,9,0.76
2b,1,9,0.80
2c,1,9,0.78
3a,1,9,1.78
3b,1,9,1.16
3c,1,9,2.08
4a,1,9,0.47
4b,1,9,0.31
5a,1,9,1.69
5b,1,9,1.19
5c,1,9,1.92
6a,1,9,0.83
6b,1,9,0.72
6d,1,9,0.96
10a,1,9,1.60
10b,1,9,1.46
10c,1,9,2.35
15a,1,9,1.28
15b,1,9,1.17
15c,1,9,1.34
15d,1,9,1.17
24a,1,9,3.29
24b,1,9,3.13
1a,2,0,0.85
1b,2,0,0.33
1c,2,0,0.24
1d,2,0,0.52
2a,2,0,0.90
2b,2,0,0.92
2c,2,0,0.79
3a,2,0,1.40
3b,2,0,0.97
3c,2,0,1.65
