query,case,seed,runtime_seconds
24a,1,0,3.28
24a,1,1,3.14
24a,1,2,3.16
24a,1,3,3.22
24a,1,4,3.18
24a,1,5,3.07
24a,1,6,3.20
24a,1,7,3.12
24a,1,8,3.20
24a,1,9,3.27
24a,2,0,2.40
24a,2,1,2.38
24a,2,2,2.15
24a,2,3,2.41
24a,2,4,2.39
24a,2,5,2.19
24a,2,6,2.26
24a,2,7,2.19
24a,2,8,2.26
24a,2,9,2.24
24a,3,0,2.34
24a,3,1,2.38
24a,3,2,2.18
24a,3,3,2.41
24a,3,4,2.39
24a,3,5,2.19
24a,3,6,2.25
24a,3,7,2.20
24a,3,8,2.31
24a,3,9,2.27
24a,4,0,1.83
24a,4,1,1.78
24a,4,2,1.67
24a,4,3,1.79
24a,4,4,1.84
24a,4,5,1.73
24a,4,6,1.71
24a,4,7,1.68
24a,4,8,1.80
24a,4,9,1.72
