source_file,timestamp,row_count,cases_present,case1_run_count,case2_run_count,case3_run_count,case4_run_count,case1_median_runtime,case2_median_runtime,case3_median_runtime,case4_median_runtime,thc_speedup_vs_forward_from_file_medians,full_speedup_vs_forward_from_file_medians,full_speedup_vs_thc_from_file_medians,settings_provenance
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,10,"3,4",0,0,5,5,,,0.699,0.677,,,1.03249631,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,10,"3,4",0,0,5,5,,,0.819,0.808,,,1.01361386,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231811.csv,20260628_231811,10,"3,4",0,0,5,5,,,0.843,0.835,,,1.00958084,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_012507.csv,20260629_012507,3,"2,3,4",0,1,1,1,,1.023,1.029,0.649,0.994169096,1.57627119,1.58551618,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_023842.csv,20260629_023842,3,"2,3,4",0,1,1,1,,1.132,1.095,0.69,1.03378995,1.64057971,1.58695652,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_030636.csv,20260629_030636,3,"2,3,4",0,1,1,1,,0.546,0.57,0.546,0.957894737,1,1.04395604,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_030701.csv,20260629_030701,15,"2,3,4",0,5,5,5,,0.561,0.563,0.561,0.996447602,1,1.00356506,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_030751.csv,20260629_030751,3,"2,3,4",0,1,1,1,,0.561,0.571,0.556,0.982486865,1.00899281,1.02697842,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_030923.csv,20260629_030923,3,"2,3,4",0,1,1,1,,0.543,0.542,0.544,1.00184502,0.998161765,0.996323529,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_030938.csv,20260629_030938,15,"2,3,4",0,5,5,5,,0.552,0.55,0.561,1.00363636,0.983957219,0.980392157,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_031314.csv,20260629_031314,3,"2,3,4",0,1,1,1,,0.557,0.552,0.541,1.00905797,1.02957486,1.02033272,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260629_031326.csv,20260629_031326,3,"2,3,4",0,1,1,1,,0.558,0.551,0.568,1.01270417,0.982394366,0.970070423,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260701_035942.csv,20260701_035942,3,"2,3,4",0,1,1,1,,0.653,0.58,0.647,1.12586207,1.00927357,0.896445131,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260701_035953.csv,20260701_035953,3,"2,3,4",0,1,1,1,,0.709,0.663,0.715,1.0693816,0.991608392,0.927272727,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260701_040408.csv,20260701_040408,3,"2,3,4",0,1,1,1,,0.71,0.665,0.713,1.06766917,0.995792426,0.932678822,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260701_040604.csv,20260701_040604,3,"2,3,4",0,1,1,1,,0.725,0.659,0.71,1.10015175,1.02112676,0.928169014,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260701_041940.csv,20260701_041940,3,"2,3,4",0,1,1,1,,0.662,0.597,0.637,1.10887772,1.03924647,0.937205651,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260701_042131.csv,20260701_042131,3,"2,3,4",0,1,1,1,,0.656,0.577,0.646,1.13691508,1.01547988,0.893188854,not_embedded_unverified
