source_file,timestamp,query,case,seed,row_index,runtime_seconds,settings_provenance
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,3,,1,0.699,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,3,,2,0.699,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,3,,3,0.695,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,3,,4,0.692,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,3,,5,0.728,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,4,,6,0.673,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,4,,7,0.677,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,4,,8,0.673,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,4,,9,0.678,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231141.csv,20260628_231141,rs,4,,10,0.684,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,3,,1,0.825,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,3,,2,0.816,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,3,,3,0.843,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,3,,4,0.819,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,3,,5,0.802,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,4,,6,0.808,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,4,,7,0.8,not_embedded_unverified
/home/hugo/code/results-spy/results/ash_datagen/ash_datagen_runtimes_20260628_231252.csv,20260628_231252,rs,4,,8,0.815,not_embedded_unverified
