dataset_id,benchmark,threads,query,baseline_best_seed,case1_runtime_on_baseline_best_seed,case2_runtime_on_baseline_best_seed,case3_runtime_on_baseline_best_seed,case4_runtime_on_baseline_best_seed,case1_status_on_baseline_best_seed,case2_status_on_baseline_best_seed,case3_status_on_baseline_best_seed,case4_status_on_baseline_best_seed,case2_speedup_vs_baseline_on_anchor,case3_speedup_vs_baseline_on_anchor,case4_speedup_vs_baseline_on_anchor,case1_own_best_runtime,case2_own_best_runtime,case3_own_best_runtime,case4_own_best_runtime,case1_own_best_seed,case2_own_best_seed,case3_own_best_seed,case4_own_best_seed
appian_t1,appian,1,q01,10,2.68,2.72,2.76,2.7,success,success,success,success,0.985294118,0.971014493,0.992592593,2.68,2.69,2.74,2.67,10,1,5,9
appian_t1,appian,1,q02,11,13.33,13.82,14.64,13.76,success,success,success,success,0.964544139,0.910519126,0.96875,13.33,13.61,14.35,13.6,11,3,4,13
appian_t1,appian,1,q03,11,6.27,6.07,6.71,6.18,success,success,success,success,1.03294893,0.93442623,1.01456311,6.27,5.98,6.66,5.97,11,4,8,6
appian_t1,appian,1,q04,17,25.35,26,28.54,25.71,success,success,success,success,0.975,0.88822705,0.985997666,25.35,25.47,28.16,25.54,17,4,10,9
appian_t1,appian,1,q05,7,4.8,4.85,5.04,4.77,success,success,success,success,0.989690722,0.952380952,1.00628931,4.8,4.77,4.99,4.77,7,6,2,7
appian_t1,appian,1,q06,10,7.65,7.71,9.64,7.74,success,success,success,success,0.992217899,0.793568465,0.988372093,7.65,7.67,9.4,7.6,10,4,19,16
appian_t1,appian,1,q07,17,7.63,8.03,8.62,8.01,success,success,success,success,0.9501868,0.885150812,0.952559301,7.63,7.91,8.25,7.85,17,19,19,8
appian_t1,appian,1,q08,10,29.15,29.44,30.34,29.26,success,success,success,success,0.990149457,0.960777851,0.996240602,29.15,29.31,29.77,29.13,10,12,0,15
job_t1,job,1,1a,0,0.19,0.17,0.17,0.15,success,success,success,success,1.11764706,1.11764706,1.26666667,0.19,0.16,0.16,0.15,0,1,1,0
job_t1,job,1,1b,0,0.15,0.11,0.11,0.1,success,success,success,success,1.36363636,1.36363636,1.5,0.15,0.1,0.11,0.1,0,6,0,0
job_t1,job,1,1c,0,0.13,0.22,0.22,0.21,success,success,success,success,0.590909091,0.590909091,0.619047619,0.13,0.12,0.11,0.12,0,2,3,2
job_t1,job,1,1d,0,0.15,0.11,0.11,0.1,success,success,success,success,1.36363636,1.36363636,1.5,0.15,0.11,0.11,0.1,0,0,0,0
job_t1,job,1,2a,9,0.52,0.35,0.36,0.3,success,success,success,success,1.48571429,1.44444444,1.73333333,0.52,0.33,0.32,0.29,9,2,18,1
job_t1,job,1,2b,9,0.51,0.34,0.34,0.29,success,success,success,success,1.5,1.5,1.75862069,0.51,0.3,0.3,0.29,9,3,2,0
job_t1,job,1,2c,0,0.3,0.07,0.08,0.07,success,success,success,success,4.28571429,3.75,4.28571429,0.3,0.07,0.07,0.07,0,0,1,0
job_t1,job,1,2d,0,0.56,0.46,0.47,0.33,success,success,success,success,1.2173913,1.19148936,1.6969697,0.56,0.45,0.47,0.33,0,9,0,0
job_t1,job,1,3a,12,1.86,1.3,1.29,1.19,success,success,success,success,1.43076923,1.44186047,1.56302521,1.86,1.12,1.11,1.11,12,11,13,17
job_t1,job,1,3b,12,0.87,1.02,1.05,1.03,success,success,success,success,0.852941176,0.828571429,0.844660194,0.87,0.95,0.94,0.93,12,9,11,11
job_t1,job,1,3c,2,2.13,1.4,1.39,1.23,success,success,success,success,1.52142857,1.5323741,1.73170732,2.13,1.19,1.19,1.18,2,17,11,11
job_t1,job,1,4a,0,0.39,0.35,0.36,0.3,success,success,success,success,1.11428571,1.08333333,1.3,0.39,0.35,0.35,0.29,0,0,9,2
job_t1,job,1,4b,0,0.24,0.29,0.28,0.28,success,success,success,success,0.827586207,0.857142857,0.857142857,0.24,0.23,0.23,0.23,0,3,2,3
job_t1,job,1,4c,0,0.47,0.41,0.41,0.34,success,success,success,success,1.14634146,1.14634146,1.38235294,0.47,0.41,0.41,0.33,0,0,0,3
job_t1,job,1,5a,16,1.69,0.08,0.09,0.09,success,success,success,success,21.125,18.7777778,18.7777778,1.69,0.08,0.08,0.08,16,0,2,0
job_t1,job,1,5b,16,1.07,0.21,0.21,0.2,success,success,success,success,5.0952381,5.0952381,5.35,1.07,0.08,0.08,0.08,16,2,2,2
job_t1,job,1,5c,16,2.02,1.14,1.15,1.1,success,success,success,success,1.77192982,1.75652174,1.83636364,2.02,1.09,1.09,1.09,16,8,2,8
job_t1,job,1,6a,5,0.5,0.56,0.57,0.53,success,success,success,success,0.892857143,0.877192982,0.943396226,0.5,0.48,0.48,0.48,5,7,7,7
job_t1,job,1,6b,5,0.45,0.46,0.47,0.46,success,success,success,success,0.97826087,0.957446809,0.97826087,0.45,0.46,0.46,0.45,5,5,7,1
job_t1,job,1,6c,5,0.42,0.43,0.43,0.43,success,success,success,success,0.976744186,0.976744186,0.976744186,0.42,0.42,0.42,0.42,5,2,6,2
job_t1,job,1,6d,8,0.7,0.73,0.73,0.55,success,success,success,success,0.95890411,0.95890411,1.27272727,0.7,0.73,0.72,0.55,8,5,17,1
job_t1,job,1,6e,10,0.63,0.68,0.68,0.43,success,success,success,success,0.926470588,0.926470588,1.46511628,0.63,0.44,0.43,0.43,10,1,0,0
job_t1,job,1,6f,2,10.79,10.73,12.93,10.82,success,success,success,success,1.0055918,0.834493426,0.997227357,10.79,10.73,12.93,10.82,2,2,2,2
job_t1,job,1,7a,1,2.75,1.08,1.12,1.11,success,success,success,success,2.5462963,2.45535714,2.47747748,2.75,0.95,0.98,0.92,1,18,18,18
job_t1,job,1,7b,4,2.48,0.71,0.73,0.8,success,success,success,success,3.49295775,3.39726027,3.1,2.48,0.7,0.7,0.7,4,10,10,10
job_t1,job,1,7c,16,3.75,2.24,2.22,2.16,success,success,success,success,1.67410714,1.68918919,1.73611111,3.75,1.68,1.58,1.61,16,8,8,18
job_t1,job,1,8a,3,0.89,0.78,0.79,0.79,success,success,success,success,1.14102564,1.12658228,1.12658228,0.89,0.68,0.67,0.66,3,10,10,10
job_t1,job,1,8b,3,0.58,0.64,0.66,0.64,success,success,success,success,0.90625,0.878787879,0.90625,0.58,0.56,0.56,0.56,3,11,11,11
job_t1,job,1,8c,5,2.14,2.2,2.49,2.21,success,success,success,success,0.972727273,0.859437751,0.968325792,2.14,2.2,2.39,2.21,5,5,0,5
job_t1,job,1,8d,10,0.96,0.98,1.01,1.01,success,success,success,success,0.979591837,0.95049505,0.95049505,0.96,0.89,0.93,0.88,10,6,6,6
job_t1,job,1,9a,3,1.19,1.14,1.14,1.04,success,success,success,success,1.04385965,1.04385965,1.14423077,1.19,1.09,1.1,1,3,10,10,6
job_t1,job,1,9b,16,1.1,0.97,0.97,0.9,success,success,success,success,1.13402062,1.13402062,1.22222222,1.1,0.76,0.76,0.73,16,11,7,5
job_t1,job,1,9c,3,1.13,1.09,1.08,0.92,success,success,success,success,1.03669725,1.0462963,1.22826087,1.13,1.05,1.05,0.88,3,4,4,5
job_t1,job,1,9d,4,1.6,1.65,1.68,1.44,success,success,success,success,0.96969697,0.952380952,1.11111111,1.6,1.65,1.68,1.18,4,4,4,19
job_t1,job,1,10a,6,0.93,0.86,0.85,0.81,success,success,success,success,1.08139535,1.09411765,1.14814815,0.93,0.82,0.82,0.8,6,5,5,0
job_t1,job,1,10b,6,0.47,0.68,0.68,0.69,success,success,success,success,0.691176471,0.691176471,0.68115942,0.47,0.63,0.63,0.63,6,3,18,18
job_t1,job,1,10c,16,1.99,2.05,2.06,2.52,success,success,success,success,0.970731707,0.966019417,0.78968254,1.99,2.02,2.02,2.52,16,6,6,16
job_t1,job,1,11a,4,0.1,0.14,0.14,0.14,success,success,success,success,0.714285714,0.714285714,0.714285714,0.1,0.1,0.1,0.1,4,12,12,0
job_t1,job,1,11b,4,0.09,0.14,0.14,0.14,success,success,success,success,0.642857143,0.642857143,0.642857143,0.09,0.11,0.11,0.11,4,12,12,12
job_t1,job,1,11c,8,0.1,0.16,0.16,0.16,success,success,success,success,0.625,0.625,0.625,0.1,0.11,0.11,0.11,8,1,1,1
job_t1,job,1,11d,8,0.1,0.18,0.18,0.17,success,success,success,success,0.555555556,0.555555556,0.588235294,0.1,0.11,0.12,0.11,8,5,1,1
job_t1,job,1,12a,8,0.41,0.32,0.33,0.26,success,success,success,success,1.28125,1.24242424,1.57692308,0.41,0.28,0.28,0.26,8,7,7,4
job_t1,job,1,12b,4,0.34,0.32,0.33,0.32,success,success,success,success,1.0625,1.03030303,1.0625,0.34,0.18,0.18,0.18,4,7,7,3
job_t1,job,1,12c,8,0.55,0.44,0.45,0.33,success,success,success,success,1.25,1.22222222,1.66666667,0.55,0.38,0.37,0.32,8,3,3,7
