dataset_id,query,story,baseline_best_seed,case,case_name,runtime_seconds,runtime_status,speedup_vs_baseline,latency,cpu_time,peak_buffer_memory,cumulative_cardinality,normalized_cumulative_cardinality,hash_join_timing,create_bf_count,use_bf_count,bf_timing,thc_instantiated_count,thc_frozen_count,join_signature
tpcds_sf100_t8,Q95,Backward pass eliminates a cardinality explosion,7,1,Baseline,17.4,success,1,17.0275004,131.266031,5.07131494e+09,5.43490359e+09,5.43490359e+09,128.040316,0,0,0,0,0,6d7e66595187afae121b5e7e82219b0de6de409ae98668e4e7bfd51e80004faa
tpcds_sf100_t8,Q95,Backward pass eliminates a cardinality explosion,7,2,Forward-only,17.71,success,0.982495765,17.2990523,133.008995,5.07213453e+09,5.43544723e+09,5.43490359e+09,129.549716,3,3,0.139289848,0,0,6d7e66595187afae121b5e7e82219b0de6de409ae98668e4e7bfd51e80004faa
tpcds_sf100_t8,Q95,Backward pass eliminates a cardinality explosion,7,3,THC,26.23,success,0.663362562,25.7857451,201.022576,5.0713481e+09,5.43544723e+09,5.43490359e+09,197.468093,3,3,0.13829637,3,3,6d7e66595187afae121b5e7e82219b0de6de409ae98668e4e7bfd51e80004faa
tpcds_sf100_t8,Q95,Backward pass eliminates a cardinality explosion,7,4,RPT+,1.95,success,8.92307692,1.52904775,10.520659,4.86519648e+09,303046707,302208111,6.1072152,4,10,1.7322865,0,0,6d7e66595187afae121b5e7e82219b0de6de409ae98668e4e7bfd51e80004faa
tpcds_sf100_t8,Q40,Backward pass reduces hash-state memory,1,1,Baseline,0.52,success,1,0.343642618,2.39643448,872939520,23464339,23464339,1.97008523,0,0,0,0,0,c532737c950c7607dc661d97cc5cf796873d36d7a3d7fe5fb086c80719a1a3e3
tpcds_sf100_t8,Q40,Backward pass reduces hash-state memory,1,2,Forward-only,0.41,success,1.26829268,0.287583567,1.95685621,891912448,18672091,18306901,1.48476146,2,2,0.032658118,0,0,c532737c950c7607dc661d97cc5cf796873d36d7a3d7fe5fb086c80719a1a3e3
tpcds_sf100_t8,Q40,Backward pass reduces hash-state memory,1,3,THC,0.41,success,1.26829268,0.293100655,1.98298058,890896640,18672091,18306901,1.50449981,2,2,0.032585691,1,0,c532737c950c7607dc661d97cc5cf796873d36d7a3d7fe5fb086c80719a1a3e3
tpcds_sf100_t8,Q40,Backward pass reduces hash-state memory,1,4,RPT+,0.21,success,2.47619048,0.082891762,0.337421182,149815808,4873588,4193402,0.045431539,3,6,0.05696242,0,0,c532737c950c7607dc661d97cc5cf796873d36d7a3d7fe5fb086c80719a1a3e3
tpcds_sf100_t8,Q83,Forward pass is sufficient,0,1,Baseline,0.62,success,1,0.493425301,3.6340152,517414912,149341792,149341792,2.79988089,0,0,0,0,0,4518baf6a2e44e8dd4a4826b6554266038ca83fdc7d9d9b820e2bb8de8f4587a
tpcds_sf100_t8,Q83,Forward pass is sufficient,0,2,Forward-only,0.31,success,2,0.151331492,0.924993772,465732608,9343953,6288118,0.099715537,14,14,0.102551089,0,0,4518baf6a2e44e8dd4a4826b6554266038ca83fdc7d9d9b820e2bb8de8f4587a
tpcds_sf100_t8,Q83,Forward pass is sufficient,0,3,THC,0.31,success,2,0.151797874,0.927963541,465732864,9341100,6286070,0.098750861,14,14,0.102105103,0,0,4518baf6a2e44e8dd4a4826b6554266038ca83fdc7d9d9b820e2bb8de8f4587a
tpcds_sf100_t8,Q83,Forward pass is sufficient,0,4,RPT+,0.31,success,2,0.165572883,0.934635134,462325376,10703892,6497012,0.086976995,26,28,0.128642279,0,0,4518baf6a2e44e8dd4a4826b6554266038ca83fdc7d9d9b820e2bb8de8f4587a
job_t8,6f,THC adds work without pruning,2,1,Baseline,1.54,success,1,1.38961513,10.758704,952369152,185734915,185734915,10.061466,0,0,0,0,0,eadc8e7f48b9be5cfb54dd7b797bd3a1f529c4a3692c684cb17a4733e2516f67
job_t8,6f,THC adds work without pruning,2,2,Forward-only,1.54,success,1,1.38122422,10.6354347,951050240,228260520,185979933,9.92774042,3,3,0.01190631,0,0,eadc8e7f48b9be5cfb54dd7b797bd3a1f529c4a3692c684cb17a4733e2516f67
job_t8,6f,THC adds work without pruning,2,3,THC,1.95,success,0.78974359,1.71400928,13.2415579,951812096,228259826,185980153,12.503109,3,3,0.013030291,3,1,eadc8e7f48b9be5cfb54dd7b797bd3a1f529c4a3692c684cb17a4733e2516f67
job_t8,6f,THC adds work without pruning,2,4,RPT+,1.64,success,0.93902439,1.41428368,10.8634933,946601984,238764792,186140486,10.142383,5,7,0.014978279,0,0,eadc8e7f48b9be5cfb54dd7b797bd3a1f529c4a3692c684cb17a4733e2516f67
tpch_sf100_t8,Q13,Baseline-friendly plan with no useful BF,1,1,Baseline,8.61,success,1,7.59646734,59.7205253,7.69582694e+09,1.00070858e+09,1.00070858e+09,18.3308878,0,0,0,0,0,f51e4de7ce8f737d6d7c7c016527c3e1343585f512f76f5562fd385c95932814
tpch_sf100_t8,Q13,Baseline-friendly plan with no useful BF,1,2,Forward-only,8.62,success,0.998839907,7.61887774,59.8198083,7.69661338e+09,1.00070858e+09,1.00070858e+09,18.1934898,0,0,0,0,0,f51e4de7ce8f737d6d7c7c016527c3e1343585f512f76f5562fd385c95932814
tpch_sf100_t8,Q13,Baseline-friendly plan with no useful BF,1,3,THC,9.75,success,0.883076923,8.8140506,69.3957259,7.69635123e+09,1.00070858e+09,1.00070858e+09,27.7121928,0,0,0,1,1,f51e4de7ce8f737d6d7c7c016527c3e1343585f512f76f5562fd385c95932814
tpch_sf100_t8,Q13,Baseline-friendly plan with no useful BF,1,4,RPT+,8.71,success,0.988518944,7.71244414,60.6659276,7.6913705e+09,1.00070858e+09,1.00070858e+09,18.4837482,0,0,0,0,0,f51e4de7ce8f737d6d7c7c016527c3e1343585f512f76f5562fd385c95932814
