dataset_id,benchmark,suite,scale_factor,threads,comparison,query_count,queries_with_paired_success,query_geomean_of_median_speedup,query_median_of_median_speedup,queries_treatment_faster,queries_treatment_slower,queries_tied,queries_at_least_10pct_faster,queries_at_least_2x_faster
appian_t1,appian,appian,,1,backward_vs_forward,8,8,1.00231049,1.00260586,6,2,0,0,0
appian_t1,appian,appian,,1,forward_vs_baseline,8,8,1.00025015,0.995397818,2,5,1,0,0
appian_t1,appian,appian,,1,full_vs_baseline,8,8,1.00496758,1.00026375,4,3,1,0,0
appian_t1,appian,appian,,1,full_vs_thc,8,8,1.08396589,1.06108025,8,0,0,3,0
appian_t1,appian,appian,,1,thc_vs_baseline,8,8,0.926321098,0.94309864,0,8,0,0,0
appian_t1,appian,appian,,1,thc_vs_forward,8,8,0.925789896,0.94597449,0,8,0,0,0
appian_t64,appian,appian,,64,backward_vs_forward,8,8,0.992501703,0.995225248,0,5,3,0,0
appian_t64,appian,appian,,64,forward_vs_baseline,8,8,0.996690863,1,1,3,4,0,0
appian_t64,appian,appian,,64,full_vs_baseline,8,8,0.995193753,0.996774194,0,4,4,0,0
appian_t64,appian,appian,,64,full_vs_thc,8,8,1.17519242,1.12873131,8,0,0,6,0
appian_t64,appian,appian,,64,thc_vs_baseline,8,8,0.845530604,0.878768513,0,8,0,0,0
appian_t64,appian,appian,,64,thc_vs_forward,8,8,0.848733828,0.88568686,0,8,0,0,0
appian_t8,appian,appian,,8,backward_vs_forward,8,8,0.991043662,1,0,1,7,0,0
appian_t8,appian,appian,,8,forward_vs_baseline,8,8,1.00520094,1,1,1,6,0,0
appian_t8,appian,appian,,8,full_vs_baseline,8,8,0.996198025,1,1,2,5,0,0
appian_t8,appian,appian,,8,full_vs_thc,8,8,1.16033293,1.11422166,7,0,1,4,0
appian_t8,appian,appian,,8,thc_vs_baseline,8,8,0.854495091,0.862148268,0,7,1,0,0
appian_t8,appian,appian,,8,thc_vs_forward,8,8,0.850073903,0.877012501,0,7,1,0,0
job_t1,job,job,,1,backward_vs_forward,113,113,1.0934825,1.05852319,86,7,20,39,0
job_t1,job,job,,1,forward_vs_baseline,113,113,2.45287768,1.97727273,103,7,3,100,55
job_t1,job,job,,1,full_vs_baseline,113,113,2.76562953,2.22533987,107,6,0,107,71
job_t1,job,job,,1,full_vs_thc,113,113,1.09962464,1.05882353,93,2,18,44,0
job_t1,job,job,,1,thc_vs_baseline,113,113,2.43762425,2,102,9,2,100,57
job_t1,job,job,,1,thc_vs_forward,113,113,0.994728678,1,5,27,81,0,0
job_t64,job,job,,64,backward_vs_forward,113,113,1.0048163,1,51,47,15,6,0
