dataset_id,treatment_case,bf_cost_multiplier,model,query_count,query_geomean_adjusted_speedup_vs_baseline,queries_still_faster,queries_now_slower
appian_t1,2,1,cpu_share,8,1.00025015,2,5
appian_t1,2,1,direct_add,8,1.00025015,2,5
appian_t1,2,1.5,cpu_share,8,0.998956807,2,5
appian_t1,2,1.5,direct_add,8,0.999006378,2,5
appian_t1,2,2,cpu_share,8,0.997677576,2,5
appian_t1,2,2,direct_add,8,0.997775648,2,5
appian_t1,2,4,cpu_share,8,0.99312557,2,5
appian_t1,2,4,direct_add,8,0.993381229,2,5
appian_t1,2,8,cpu_share,8,0.984528387,1,6
appian_t1,2,8,direct_add,8,0.985083778,1,6
appian_t1,4,1,cpu_share,8,1.00496758,4,3
appian_t1,4,1,direct_add,8,1.00496758,4,3
appian_t1,4,1.5,cpu_share,8,1.00366274,4,4
appian_t1,4,1.5,direct_add,8,1.00371169,4,4
appian_t1,4,2,cpu_share,8,1.00237075,4,4
appian_t1,4,2,direct_add,8,1.00246769,4,4
appian_t1,4,4,cpu_share,8,0.997326396,3,5
appian_t1,4,4,direct_add,8,0.997606253,3,5
appian_t1,4,8,cpu_share,8,0.987665044,2,6
appian_t1,4,8,direct_add,8,0.988314383,2,6
appian_t64,2,1,cpu_share,8,0.996690863,1,3
appian_t64,2,1.5,cpu_share,8,0.995842875,1,4
appian_t64,2,2,cpu_share,8,0.995000041,0,5
appian_t64,2,4,cpu_share,8,0.991678999,0,5
appian_t64,2,8,cpu_share,8,0.985266076,0,5
appian_t64,4,1,cpu_share,8,0.995193753,0,4
appian_t64,4,1.5,cpu_share,8,0.994235512,0,6
appian_t64,4,2,cpu_share,8,0.993283207,0,6
appian_t64,4,4,cpu_share,8,0.989526005,0,6
appian_t64,4,8,cpu_share,8,0.982259112,0,6
appian_t8,2,1,cpu_share,8,1.00520094,1,1
appian_t8,2,1.5,cpu_share,8,1.00408742,1,4
appian_t8,2,2,cpu_share,8,1.00298374,1,4
appian_t8,2,4,cpu_share,8,0.998664072,1,4
appian_t8,2,8,cpu_share,8,0.990449233,0,5
appian_t8,4,1,cpu_share,8,0.996198025,1,2
appian_t8,4,1.5,cpu_share,8,0.994965703,1,5
appian_t8,4,2,cpu_share,8,0.99374447,1,5
appian_t8,4,4,cpu_share,8,0.988966483,1,5
appian_t8,4,8,cpu_share,8,0.979886383,0,6
job_t1,2,1,cpu_share,112,2.45932946,102,7
job_t1,2,1,direct_add,112,2.45932946,102,7
job_t1,2,1.5,cpu_share,112,2.34323913,102,10
job_t1,2,1.5,direct_add,112,2.35680991,102,10
job_t1,2,2,cpu_share,112,2.24017596,101,11
job_t1,2,2,direct_add,112,2.26408917,101,11
job_t1,2,4,cpu_share,112,1.92405477,98,14
job_t1,2,4,direct_add,112,1.97349964,99,13
job_t1,2,8,cpu_share,112,1.52888565,78,34
job_t1,2,8,direct_add,112,1.5992327,84,28
job_t1,4,1,cpu_share,112,2.76638953,106,6
job_t1,4,1,direct_add,112,2.76638953,106,6
job_t1,4,1.5,cpu_share,112,2.58046832,106,6
job_t1,4,1.5,direct_add,112,2.60226019,106,6
job_t1,4,2,cpu_share,112,2.42080104,106,6
job_t1,4,2,direct_add,112,2.45872199,106,6
job_t1,4,4,cpu_share,112,1.96032745,104,8
job_t1,4,4,direct_add,112,2.03206817,105,7
job_t1,4,8,cpu_share,112,1.44891146,69,43
job_t1,4,8,direct_add,112,1.53831241,78,34
job_t64,2,1,cpu_share,112,1.56523963,108,2
job_t64,2,1.5,cpu_share,112,1.53773967,108,4
job_t64,2,2,cpu_share,112,1.51081526,108,4
job_t64,2,4,cpu_share,112,1.41211828,100,12
job_t64,2,8,cpu_share,112,1.25454146,85,27
job_t64,4,1,cpu_share,112,1.59087461,108,4
job_t64,4,1.5,cpu_share,112,1.54572621,106,6
job_t64,4,2,cpu_share,112,1.50392082,105,7
job_t64,4,4,cpu_share,112,1.36087287,87,25
job_t64,4,8,cpu_share,112,1.1507846,71,41
job_t8,2,1,cpu_share,112,1.89664535,85,0
job_t8,2,1.5,cpu_share,112,1.81541955,85,27
job_t8,2,2,cpu_share,112,1.74214285,85,27
job_t8,2,4,cpu_share,112,1.51058543,80,32
job_t8,2,8,cpu_share,112,1.20938462,58,54
job_t8,4,1,cpu_share,112,2.09410595,93,0
job_t8,4,1.5,cpu_share,112,1.96105364,93,19
job_t8,4,2,cpu_share,112,1.84592271,93,19
job_t8,4,4,cpu_share,112,1.51105604,82,30
job_t8,4,8,cpu_share,112,1.12060063,54,58
tpcds_sf100_t1,2,1,cpu_share,97,1.38399801,67,27
tpcds_sf100_t1,2,1,direct_add,97,1.38399801,67,27
tpcds_sf100_t1,2,1.5,cpu_share,97,1.33158268,65,31
tpcds_sf100_t1,2,1.5,direct_add,97,1.33679962,65,31
tpcds_sf100_t1,2,2,cpu_share,97,1.2848112,63,33
tpcds_sf100_t1,2,2,direct_add,97,1.29424522,64,32
tpcds_sf100_t1,2,4,cpu_share,97,1.13495696,53,43
