dataset_id,query,treatment_case,bf_cost_multiplier,model,seed_count,median_adjusted_speedup_vs_baseline,geomean_adjusted_speedup_vs_baseline,seed_win_rate
appian_t1,q01,2,1,cpu_share,20,1,1.00071297,0.35
appian_t1,q01,2,1,direct_add,20,1,1.00071297,0.35
appian_t1,q01,2,1.5,cpu_share,20,1,1.00071297,0.35
appian_t1,q01,2,1.5,direct_add,20,1,1.00071297,0.35
appian_t1,q01,2,2,cpu_share,20,1,1.00071297,0.35
appian_t1,q01,2,2,direct_add,20,1,1.00071297,0.35
appian_t1,q01,2,4,cpu_share,20,1,1.00071297,0.35
appian_t1,q01,2,4,direct_add,20,1,1.00071297,0.35
appian_t1,q01,2,8,cpu_share,20,1,1.00071297,0.35
appian_t1,q01,2,8,direct_add,20,1,1.00071297,0.35
appian_t1,q01,4,1,cpu_share,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,1,direct_add,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,1.5,cpu_share,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,1.5,direct_add,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,2,cpu_share,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,2,direct_add,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,4,cpu_share,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,4,direct_add,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,8,cpu_share,20,1.00371059,1.0049629,0.65
appian_t1,q01,4,8,direct_add,20,1.00371059,1.0049629,0.65
appian_t1,q02,2,1,cpu_share,20,0.984454796,0.983420997,0.05
appian_t1,q02,2,1,direct_add,20,0.984454796,0.983420997,0.05
appian_t1,q02,2,1.5,cpu_share,20,0.984450641,0.983416692,0.05
appian_t1,q02,2,1.5,direct_add,20,0.984450764,0.983416819,0.05
appian_t1,q02,2,2,cpu_share,20,0.984446486,0.983412387,0.05
appian_t1,q02,2,2,direct_add,20,0.984446732,0.983412641,0.05
appian_t1,q02,2,4,cpu_share,20,0.984429867,0.983395167,0.05
appian_t1,q02,2,4,direct_add,20,0.984430604,0.98339593,0.05
appian_t1,q02,2,8,cpu_share,20,0.984396629,0.98336073,0.05
appian_t1,q02,2,8,direct_add,20,0.984398349,0.98336251,0.05
appian_t1,q02,4,1,cpu_share,20,0.98695599,0.98445777,0.05
appian_t1,q02,4,1,direct_add,20,0.98695599,0.98445777,0.05
appian_t1,q02,4,1.5,cpu_share,20,0.986820978,0.984324932,0.05
appian_t1,q02,4,1.5,direct_add,20,0.986825047,0.984328918,0.05
appian_t1,q02,4,2,cpu_share,20,0.986686004,0.98419213,0.05
appian_t1,q02,4,2,direct_add,20,0.986694138,0.9842001,0.05
appian_t1,q02,4,4,cpu_share,20,0.986146474,0.98366128,0.05
appian_t1,q02,4,4,direct_add,20,0.986170851,0.983685166,0.05
appian_t1,q02,4,8,cpu_share,20,0.985069184,0.982601299,0.05
appian_t1,q02,4,8,direct_add,20,0.985125941,0.982656913,0.05
appian_t1,q03,2,1,cpu_share,20,1.06403471,1.07540241,1
appian_t1,q03,2,1,direct_add,20,1.06403471,1.07540241,1
appian_t1,q03,2,1.5,cpu_share,20,1.05350077,1.06556884,0.95
appian_t1,q03,2,1.5,direct_add,20,1.053907,1.06595002,0.95
