dataset_id,benchmark,suite,scale_factor,threads,commit,runtime_csv,median_csv,profiling_dir,boxplot_dir,profile_prefix,timeout_seconds,row_count,query_count,seed_count,success_count,timeout_count,oom_count,profile_json_count
appian_t1,appian,appian,,1,bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,/home/hugo/code/results-spy/results/appian/appian_runtimes_20260701_163253.csv,/home/hugo/code/results-spy/results/appian/appian_runtimes_20260701_163253_median.csv,/home/hugo/code/results-spy/results/appian/profiling_20260701_163253,/home/hugo/code/results-spy/results/appian/boxplots_appian_runtimes_20260701_163253,appian,60,640,8,20,640,0,0,640
job_t1,job,job,,1,bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,/home/hugo/code/results-spy/results/job/job_runtimes_20260701_184720.csv,/home/hugo/code/results-spy/results/job/job_runtimes_20260701_184720_median.csv,/home/hugo/code/results-spy/results/job/profiling_20260701_184720,/home/hugo/code/results-spy/results/job/boxplots_job_runtimes_20260701_184720,job,300,9040,113,20,9031,9,0,8951
tpch_sf10_t1,TPCH SF10,tpch,10,1,bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf10_20260702_030618.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf10_20260702_030618_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260702_030618,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf10_20260702_030618,tpch,300,1760,22,20,1736,24,0,1736
tpch_sf20_t1,TPCH SF20,tpch,20,1,bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf20_20260702_070441.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf20_20260702_070441_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260702_070441,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf20_20260702_070441,tpch,300,1760,22,20,1736,24,0,1736
tpch_sf50_t1,TPCH SF50,tpch,50,1,bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf50_20260702_130803.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf50_20260702_130803_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260702_130803,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf50_20260702_130803,tpch,300,1760,22,20,1736,24,0,1736
tpch_sf100_t1,TPCH SF100,tpch,100,1,bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf100_20260703_013648.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf100_20260703_013648_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260703_013648,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf100_20260703_013648,tpch,300,1760,22,20,1736,24,0,1736
tpcds_sf10_t1,TPCDS SF10,tpcds,10,1,9f07e58ee7,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf10_20260713_145050.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf10_20260713_145050_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260713_145050,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf10_20260713_145050,tpcds,300,7920,99,20,7836,84,0,7836
tpcds_sf20_t1,TPCDS SF20,tpcds,20,1,9f07e58ee7,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf20_20260714_064547.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf20_20260714_064547_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260714_064547,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf20_20260714_064547,tpcds,300,7920,99,20,7827,93,0,7827
tpcds_sf50_t1,TPCDS SF50,tpcds,50,1,9f07e58ee7,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf50_20260715_004542.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf50_20260715_004542_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260715_004542,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf50_20260715_004542,tpcds,300,7920,99,20,7812,108,0,7812
tpcds_sf100_t1,TPCDS SF100,tpcds,100,1,9f07e58ee7,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf100_20260716_113052.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf100_20260716_113052_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260716_113052,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf100_20260716_113052,tpcds,300,7920,99,20,7713,207,0,7713
