dataset_id,query,case,k,expected_best_capped_runtime,sampled_oracle_capped_runtime
appian_t1,q01,1,1,2.7235,2.68
appian_t1,q01,1,2,2.70973684,2.68
appian_t1,q01,1,3,2.70407895,2.68
appian_t1,q01,1,5,2.69780379,2.68
appian_t1,q01,1,10,2.69017802,2.68
appian_t1,q01,1,20,2.68,2.68
appian_t1,q01,2,1,2.7215,2.69
appian_t1,q01,2,2,2.71115789,2.69
appian_t1,q01,2,3,2.70587719,2.69
appian_t1,q01,2,5,2.70011029,2.69
appian_t1,q01,2,10,2.69342462,2.69
appian_t1,q01,2,20,2.69,2.69
appian_t1,q01,3,1,2.771,2.74
appian_t1,q01,3,2,2.76010526,2.74
appian_t1,q01,3,3,2.75466667,2.74
appian_t1,q01,3,5,2.74889448,2.74
appian_t1,q01,3,10,2.74280543,2.74
appian_t1,q01,3,20,2.74,2.74
appian_t1,q01,4,1,2.71,2.67
appian_t1,q01,4,2,2.69931579,2.67
appian_t1,q01,4,3,2.69463158,2.67
appian_t1,q01,4,5,2.68929309,2.67
appian_t1,q01,4,10,2.68105323,2.67
appian_t1,q01,4,20,2.67,2.67
appian_t1,q02,1,1,13.5585,13.33
appian_t1,q02,1,2,13.4932105,13.33
appian_t1,q02,1,3,13.4552895,13.33
appian_t1,q02,1,5,13.4105657,13.33
appian_t1,q02,1,10,13.3586128,13.33
appian_t1,q02,1,20,13.33,13.33
appian_t1,q02,2,1,13.787,13.61
appian_t1,q02,2,2,13.7254211,13.61
appian_t1,q02,2,3,13.6922719,13.61
appian_t1,q02,2,5,13.6559797,13.61
appian_t1,q02,2,10,13.6239236,13.61
appian_t1,q02,2,20,13.61,13.61
appian_t1,q02,3,1,14.6225,14.35
appian_t1,q02,3,2,14.556,14.35
appian_t1,q02,3,3,14.5254825,14.35
appian_t1,q02,3,5,14.4898723,14.35
appian_t1,q02,3,10,14.4318117,14.35
appian_t1,q02,3,20,14.35,14.35
appian_t1,q02,4,1,13.7725,13.6
appian_t1,q02,4,2,13.7088947,13.6
appian_t1,q02,4,3,13.6753421,13.6
appian_t1,q02,4,5,13.6392202,13.6
appian_t1,q02,4,10,13.6083044,13.6
appian_t1,q02,4,20,13.6,13.6
appian_t1,q03,1,1,6.562,6.27
appian_t1,q03,1,2,6.439,6.27
appian_t1,q03,1,3,6.38421053,6.27
appian_t1,q03,1,5,6.33642608,6.27
appian_t1,q03,1,10,6.29519902,6.27
appian_t1,q03,1,20,6.27,6.27
appian_t1,q03,2,1,6.0995,5.98
appian_t1,q03,2,2,6.04973684,5.98
appian_t1,q03,2,3,6.02766667,5.98
appian_t1,q03,2,5,6.00437242,5.98
appian_t1,q03,2,10,5.98378905,5.98
appian_t1,q03,2,20,5.98,5.98
appian_t1,q03,3,1,6.8035,6.66
appian_t1,q03,3,2,6.75257895,6.66
appian_t1,q03,3,3,6.72820175,6.66
appian_t1,q03,3,5,6.70265931,6.66
appian_t1,q03,3,10,6.67614508,6.66
appian_t1,q03,3,20,6.66,6.66
appian_t1,q03,4,1,6.089,5.97
appian_t1,q03,4,2,6.04036842,5.97
appian_t1,q03,4,3,6.02052632,5.97
appian_t1,q03,4,5,6.00082108,5.97
appian_t1,q03,4,10,5.98056144,5.97
appian_t1,q03,4,20,5.97,5.97
appian_t1,q04,1,1,25.829,25.35
appian_t1,q04,1,2,25.6652105,25.35
appian_t1,q04,1,3,25.5865263,25.35
appian_t1,q04,1,5,25.503116,25.35
appian_t1,q04,1,10,25.4067484,25.35
appian_t1,q04,1,20,25.35,25.35
appian_t1,q04,2,1,25.8595,25.47
appian_t1,q04,2,2,25.7424211,25.47
appian_t1,q04,2,3,25.6841754,25.47
appian_t1,q04,2,5,25.6141151,25.47
appian_t1,q04,2,10,25.5286541,25.47
appian_t1,q04,2,20,25.47,25.47
appian_t1,q04,3,1,28.599,28.16
appian_t1,q04,3,2,28.4630526,28.16
appian_t1,q04,3,3,28.3958684,28.16
appian_t1,q04,3,5,28.3156689,28.16
appian_t1,q04,3,10,28.2232467,28.16
appian_t1,q04,3,20,28.16,28.16
appian_t1,q04,4,1,25.887,25.54
appian_t1,q04,4,2,25.7546842,25.54
appian_t1,q04,4,3,25.690114,25.54
appian_t1,q04,4,5,25.6290299,25.54
appian_t1,q04,4,10,25.5738998,25.54
appian_t1,q04,4,20,25.54,25.54
appian_t1,q05,1,1,4.855,4.8
appian_t1,q05,1,2,4.83231579,4.8
appian_t1,q05,1,3,4.82205263,4.8
appian_t1,q05,1,5,4.81277799,4.8
appian_t1,q05,1,10,4.80550315,4.8
appian_t1,q05,1,20,4.8,4.8
appian_t1,q05,2,1,4.836,4.77
appian_t1,q05,2,2,4.81694737,4.77
appian_t1,q05,2,3,4.80714035,4.77
appian_t1,q05,2,5,4.79612939,4.77
appian_t1,q05,2,10,4.78296856,4.77
appian_t1,q05,2,20,4.77,4.77
appian_t1,q05,3,1,5.0555,4.99
appian_t1,q05,3,2,5.03689474,4.99
appian_t1,q05,3,3,5.02839474,4.99
appian_t1,q05,3,5,5.01845137,4.99
appian_t1,q05,3,10,5.00315849,4.99
appian_t1,q05,3,20,4.99,4.99
appian_t1,q05,4,1,4.821,4.77
appian_t1,q05,4,2,4.80021053,4.77
