dataset_id,query,seed,comparison,base_case,treatment_case,base_runtime,treatment_runtime,speedup,status
appian_t1,q01,0,forward_vs_baseline,1,2,2.76,2.71,1.01845018,paired_success
appian_t1,q01,1,forward_vs_baseline,1,2,2.7,2.69,1.00371747,paired_success
appian_t1,q01,2,forward_vs_baseline,1,2,2.72,2.72,1,paired_success
appian_t1,q01,3,forward_vs_baseline,1,2,2.7,2.71,0.996309963,paired_success
appian_t1,q01,4,forward_vs_baseline,1,2,2.7,2.72,0.992647059,paired_success
appian_t1,q01,5,forward_vs_baseline,1,2,2.74,2.74,1,paired_success
appian_t1,q01,6,forward_vs_baseline,1,2,2.72,2.73,0.996336996,paired_success
appian_t1,q01,7,forward_vs_baseline,1,2,2.71,2.75,0.985454545,paired_success
appian_t1,q01,8,forward_vs_baseline,1,2,2.73,2.74,0.996350365,paired_success
appian_t1,q01,9,forward_vs_baseline,1,2,2.72,2.69,1.01115242,paired_success
appian_t1,q01,10,forward_vs_baseline,1,2,2.68,2.72,0.985294118,paired_success
appian_t1,q01,11,forward_vs_baseline,1,2,2.74,2.73,1.003663,paired_success
appian_t1,q01,12,forward_vs_baseline,1,2,2.73,2.73,1,paired_success
appian_t1,q01,13,forward_vs_baseline,1,2,2.73,2.7,1.01111111,paired_success
appian_t1,q01,14,forward_vs_baseline,1,2,2.72,2.71,1.00369004,paired_success
appian_t1,q01,15,forward_vs_baseline,1,2,2.74,2.74,1,paired_success
appian_t1,q01,16,forward_vs_baseline,1,2,2.72,2.73,0.996336996,paired_success
appian_t1,q01,17,forward_vs_baseline,1,2,2.71,2.71,1,paired_success
appian_t1,q01,18,forward_vs_baseline,1,2,2.8,2.71,1.03321033,paired_success
appian_t1,q01,19,forward_vs_baseline,1,2,2.7,2.75,0.981818182,paired_success
appian_t1,q01,0,thc_vs_baseline,1,3,2.76,2.79,0.989247312,paired_success
appian_t1,q01,1,thc_vs_baseline,1,3,2.7,2.81,0.960854093,paired_success
appian_t1,q01,2,thc_vs_baseline,1,3,2.72,2.78,0.978417266,paired_success
appian_t1,q01,3,thc_vs_baseline,1,3,2.7,2.79,0.967741935,paired_success
appian_t1,q01,4,thc_vs_baseline,1,3,2.7,2.79,0.967741935,paired_success
appian_t1,q01,5,thc_vs_baseline,1,3,2.74,2.74,1,paired_success
appian_t1,q01,6,thc_vs_baseline,1,3,2.72,2.76,0.985507246,paired_success
appian_t1,q01,7,thc_vs_baseline,1,3,2.71,2.79,0.971326165,paired_success
appian_t1,q01,8,thc_vs_baseline,1,3,2.73,2.76,0.989130435,paired_success
appian_t1,q01,9,thc_vs_baseline,1,3,2.72,2.75,0.989090909,paired_success
appian_t1,q01,10,thc_vs_baseline,1,3,2.68,2.76,0.971014493,paired_success
appian_t1,q01,11,thc_vs_baseline,1,3,2.74,2.76,0.992753623,paired_success
appian_t1,q01,12,thc_vs_baseline,1,3,2.73,2.78,0.982014388,paired_success
appian_t1,q01,13,thc_vs_baseline,1,3,2.73,2.74,0.996350365,paired_success
appian_t1,q01,14,thc_vs_baseline,1,3,2.72,2.75,0.989090909,paired_success
appian_t1,q01,15,thc_vs_baseline,1,3,2.74,2.77,0.989169675,paired_success
appian_t1,q01,16,thc_vs_baseline,1,3,2.72,2.77,0.981949458,paired_success
appian_t1,q01,17,thc_vs_baseline,1,3,2.71,2.79,0.971326165,paired_success
appian_t1,q01,18,thc_vs_baseline,1,3,2.8,2.77,1.01083032,paired_success
appian_t1,q01,19,thc_vs_baseline,1,3,2.7,2.77,0.974729242,paired_success
appian_t1,q01,0,full_vs_baseline,1,4,2.76,2.74,1.00729927,paired_success
appian_t1,q01,1,full_vs_baseline,1,4,2.7,2.75,0.981818182,paired_success
appian_t1,q01,2,full_vs_baseline,1,4,2.72,2.7,1.00740741,paired_success
appian_t1,q01,3,full_vs_baseline,1,4,2.7,2.71,0.996309963,paired_success
appian_t1,q01,4,full_vs_baseline,1,4,2.7,2.69,1.00371747,paired_success
appian_t1,q01,5,full_vs_baseline,1,4,2.74,2.7,1.01481481,paired_success
appian_t1,q01,6,full_vs_baseline,1,4,2.72,2.7,1.00740741,paired_success
appian_t1,q01,7,full_vs_baseline,1,4,2.71,2.71,1,paired_success
appian_t1,q01,8,full_vs_baseline,1,4,2.73,2.69,1.01486989,paired_success
appian_t1,q01,9,full_vs_baseline,1,4,2.72,2.67,1.01872659,paired_success
appian_t1,q01,10,full_vs_baseline,1,4,2.68,2.7,0.992592593,paired_success
appian_t1,q01,11,full_vs_baseline,1,4,2.74,2.74,1,paired_success
appian_t1,q01,12,full_vs_baseline,1,4,2.73,2.72,1.00367647,paired_success
appian_t1,q01,13,full_vs_baseline,1,4,2.73,2.7,1.01111111,paired_success
appian_t1,q01,14,full_vs_baseline,1,4,2.72,2.71,1.00369004,paired_success
appian_t1,q01,15,full_vs_baseline,1,4,2.74,2.71,1.01107011,paired_success
appian_t1,q01,16,full_vs_baseline,1,4,2.72,2.72,1,paired_success
appian_t1,q01,17,full_vs_baseline,1,4,2.71,2.7,1.0037037,paired_success
appian_t1,q01,18,full_vs_baseline,1,4,2.8,2.71,1.03321033,paired_success
appian_t1,q01,19,full_vs_baseline,1,4,2.7,2.73,0.989010989,paired_success
