dataset_id,query,seed,all_four_profiles_present,normalized_join_signature_match,case1_signature,case2_signature,case3_signature,case4_signature
appian_t1,q01,0,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,1,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,2,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,3,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,4,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,5,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,6,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,7,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,8,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
appian_t1,q01,9,1,1,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997,7c5eea215f97b096dd51129bd6042267f232e3df06515c43a1a6b58d7139e997
