dataset_id,comparison,pair_count,aggregation,normalized_cardinality_query_count,memory_query_count,cpu_query_count,hash_join_query_count,rows_scanned_query_count,pearson_log_latency_vs_log_normalized_cardinality_reduction,spearman_log_latency_vs_log_normalized_cardinality_reduction,pearson_log_latency_vs_log_memory_reduction,spearman_log_latency_vs_log_memory_reduction,pearson_log_latency_vs_log_cpu_reduction,spearman_log_latency_vs_log_cpu_reduction,pearson_log_latency_vs_log_hash_join_reduction,spearman_log_latency_vs_log_hash_join_reduction,pearson_log_latency_vs_log_rows_scanned_reduction,spearman_log_latency_vs_log_rows_scanned_reduction
appian_t1,backward_vs_forward,160,seed_pairs,,,,,,-0.0202933914,-0.0172535435,-0.000232732949,-0.0178801533,0.996229104,0.994796672,0.9767772,0.973854447,0.0242513846,-0.00237651236
appian_t1,full_vs_baseline,160,seed_pairs,,,,,,0.82453437,0.665120836,0.205189042,0.299627486,0.999125891,0.99792863,0.984242314,0.981348881,-0.650669204,-0.186437394
appian_t1,thc_vs_forward,160,seed_pairs,,,,,,,,0.0205473373,0.0728812415,0.999815184,0.999334935,0.993965481,0.991910817,,
appian_t64,backward_vs_forward,160,seed_pairs,,,,,,0.422054333,0.237849179,-0.292143533,-0.187366694,0.83770421,0.838863823,0.364420045,0.286915505,0.476518029,0.335563545
appian_t64,full_vs_baseline,160,seed_pairs,,,,,,-0.197263534,0.0491848548,-0.116855823,-0.0422975507,0.560367652,0.559682995,0.139362886,0.302103598,0.223155275,0.271249179
appian_t64,thc_vs_forward,160,seed_pairs,,,,,,-0.181442744,-0.104391128,-0.086536058,-0.152250088,0.814488322,0.665609985,0.707007739,0.612598148,,
appian_t8,backward_vs_forward,160,seed_pairs,,,,,,0.16292037,0.260509593,-0.540393281,-0.225644804,0.328716629,0.369184343,0.377059548,0.402461034,-0.0723211827,0.0377271337
appian_t8,full_vs_baseline,160,seed_pairs,,,,,,0.754623096,0.675749131,-0.217695661,-0.106327674,0.928611025,0.91479843,0.919828625,0.91271534,-0.603686835,-0.243800461
appian_t8,thc_vs_forward,160,seed_pairs,,,,,,-0.0142309104,0.00217342448,0.00278270088,-0.108116336,0.99630694,0.990489863,0.990113624,0.988617719,,
job_t1,backward_vs_forward,2240,seed_pairs,,,,,,0.465881847,0.411919958,0.791811785,0.375560771,0.997311825,0.998035562,0.445824513,0.567646391,0.157935824,0.294925225
job_t1,full_vs_baseline,2231,seed_pairs,,,,,,0.658766118,0.787777215,0.695228464,0.701901339,0.999243614,0.999810882,0.572382776,0.531051774,0.146867916,0.0649997448
job_t1,thc_vs_forward,2240,seed_pairs,,,,,,,,-0.0439247798,-0.0861001893,0.998554213,0.997290441,0.682692752,0.646119337,,
job_t64,backward_vs_forward,2240,seed_pairs,,,,,,0.317571564,0.2134506,0.482577592,0.458797113,0.447575972,0.470375484,0.443876451,0.460554239,0.174032028,0.112889609
job_t64,full_vs_baseline,2240,seed_pairs,,,,,,0.575659906,0.730906924,0.608648995,0.613789767,0.842079072,0.818157139,0.540568387,0.520442973,0.0702276289,0.0346462386
job_t64,thc_vs_forward,2240,seed_pairs,,,,,,0.0215473259,-0.017132223,0.391394974,0.141018389,0.828080008,0.49125233,0.576966017,0.413688513,-0.213395617,-0.141710835
job_t8,backward_vs_forward,2240,seed_pairs,,,,,,0.36663343,0.291319317,0.648822046,0.326679795,0.851932768,0.853525795,0.559218725,0.564642595,0.11450128,0.156998875
job_t8,full_vs_baseline,2240,seed_pairs,,,,,,0.603020269,0.78724738,0.627722003,0.639311451,0.963709645,0.963964345,0.611964555,0.599825237,0.0625626227,0.0155002767
job_t8,thc_vs_forward,2240,seed_pairs,,,,,,0.144859633,-0.0425692971,0.179494813,0.0619225002,0.840039935,0.794014175,0.533393572,0.516966053,-0.226116784,-0.155773735
tpcds_sf100_t1,backward_vs_forward,1897,seed_pairs,,,,,,0.849283444,0.158331737,0.468766483,0.164326076,0.999727091,0.998875932,0.657395137,0.659844107,0.13751504,0.116535578
tpcds_sf100_t1,full_vs_baseline,1863,seed_pairs,,,,,,0.790327141,0.677014458,0.486083099,0.313354128,0.999783713,0.999780926,0.611592901,0.828775452,0.358114194,0.35240559
tpcds_sf100_t1,thc_vs_forward,1896,seed_pairs,,,,,,,,0.0252835791,-0.0348722146,0.999620211,0.996427909,0.931290608,0.814367722,,
tpcds_sf100_t64,backward_vs_forward,1920,seed_pairs,,,,,,0.725005387,0.342547129,0.531281436,0.560504183,0.75088063,0.756218909,0.301762868,0.0780926505,0.081250148,0.233200492
tpcds_sf100_t64,full_vs_baseline,1914,seed_pairs,,,,,,0.796126717,0.492869518,0.78068864,0.622423156,0.945734141,0.737319178,0.460463116,0.338462648,0.124057696,0.337165898
tpcds_sf100_t64,thc_vs_forward,1920,seed_pairs,,,,,,0.429688364,0.0582212734,0.0980052635,0.0188514403,0.969336376,0.870827988,0.707347491,0.50880315,-0.0205152967,0.000906096077
tpcds_sf100_t8,backward_vs_forward,1917,seed_pairs,,,,,,0.828757238,0.202973898,0.412755541,0.268733367,0.985204833,0.896762853,0.645719532,0.496125365,0.100995718,0.0399588133
tpcds_sf100_t8,full_vs_baseline,1890,seed_pairs,,,,,,0.791440811,0.679538389,0.437801298,0.36523823,0.991781389,0.98714065,0.613107348,0.801191173,0.262270305,0.270945501
tpcds_sf100_t8,thc_vs_forward,1917,seed_pairs,,,,,,0.683915041,0.048442363,0.482329966,0.0255188663,0.997138647,0.968707156,0.9533129,0.777251204,0.04474159,0.0625621324
tpcds_sf10_t1,backward_vs_forward,1920,seed_pairs,,,,,,0.84120428,0.176675201,0.489531556,0.139223628,0.998700289,0.998144592,0.674235533,0.685579867,0.137024788,0.118562492
tpcds_sf10_t1,full_vs_baseline,1916,seed_pairs,,,,,,0.845299505,0.70054562,0.697174527,0.350773158,0.999559402,0.999652236,0.66924494,0.849174016,0.317066846,0.426808645
tpcds_sf10_t1,thc_vs_forward,1920,seed_pairs,,,,,,,,-0.00369672023,-0.0218921951,0.999306139,0.996443001,0.859766559,0.701677564,,
tpcds_sf10_t64,backward_vs_forward,1920,seed_pairs,,,,,,0.612822932,0.382648387,0.464201391,0.453221522,0.719900591,0.613889845,0.513850464,0.151399104,0.0277881068,0.0896383742
tpcds_sf10_t64,full_vs_baseline,1920,seed_pairs,,,,,,0.728084992,0.505838808,0.509990379,0.504954359,0.906297497,0.681258052,0.531093126,0.296785164,0.102709135,0.257272885
tpcds_sf10_t64,thc_vs_forward,1920,seed_pairs,,,,,,0.504346351,0.133044148,-0.0521113238,0.0724158196,0.857425023,0.712638185,0.647594719,0.43465961,0.160042252,0.142247071
tpcds_sf10_t8,backward_vs_forward,1920,seed_pairs,,,,,,0.791733431,0.284872759,0.527840079,0.367397043,0.955566956,0.757974891,0.688687588,0.497567216,0.112434716,0.126774303
tpcds_sf10_t8,full_vs_baseline,1920,seed_pairs,,,,,,0.823006428,0.74637481,0.686708079,0.365541005,0.982252412,0.947770085,0.648210232,0.792580125,0.25584069,0.408105682
tpcds_sf10_t8,thc_vs_forward,1920,seed_pairs,,,,,,0.644787527,0.111082916,0.226945066,-0.0104172127,0.991410314,0.876107756,0.923232708,0.637040631,0.163013874,0.218491578
tpcds_sf20_t1,backward_vs_forward,1920,seed_pairs,,,,,,0.829186254,0.141918512,0.434997414,0.137244936,0.999347411,0.998117241,0.717765442,0.69504049,0.142105311,0.120431031
tpcds_sf20_t1,full_vs_baseline,1907,seed_pairs,,,,,,0.855037942,0.69544416,0.537203409,0.401083625,0.999558785,0.999379422,0.628627813,0.835111377,0.328519994,0.372522614
tpcds_sf20_t1,thc_vs_forward,1920,seed_pairs,,,,,,,,-0.0137028758,-0.0633075134,0.999328798,0.996367463,0.902011204,0.708539719,,
tpcds_sf20_t64,backward_vs_forward,1920,seed_pairs,,,,,,0.646696192,0.251304739,0.278949632,0.320275922,0.750594324,0.74225678,0.267908583,0.0792916339,0.0179749145,0.108408681
tpcds_sf20_t64,full_vs_baseline,1920,seed_pairs,,,,,,0.815663297,0.307917128,0.400265397,0.349733109,0.935003739,0.747672414,0.506967348,0.100393989,0.0983052239,0.235499731
tpcds_sf20_t64,thc_vs_forward,1920,seed_pairs,,,,,,0.199992212,0.0157460471,-0.000252899195,-0.0420228605,0.945348871,0.900527434,0.243388304,0.101295058,0.0194082217,0.0219187419
tpcds_sf20_t8,backward_vs_forward,1920,seed_pairs,,,,,,0.813784235,0.172476934,0.353804416,0.23488027,0.960622476,0.792036063,0.67573037,0.454026292,0.0976497127,0.0363452599
