dataset_id,query,seed,comparison,runtime_speedup,profile_latency_speedup,cpu_time_reduction,cumulative_cardinality_reduction,normalized_cumulative_cardinality_reduction,peak_memory_reduction,hash_join_timing_reduction,rows_scanned_reduction,treatment_create_bf_count,treatment_use_bf_count,treatment_bf_timing,treatment_bf_cpu_fraction,treatment_thc_instantiated_count,treatment_thc_frozen_count,treatment_thc_abandoned_count,join_signature_match
appian_t1,q01,0,thc_vs_forward,0.971326165,0.97406268,0.974512292,1,1,1,0.964391386,1,0,0,0,0,1,0,0,1
appian_t1,q01,0,backward_vs_forward,0.989051095,0.989049379,0.989239232,1,1,1,0.985635057,1,0,0,0,0,0,0,0,1
appian_t1,q01,0,full_vs_baseline,1.00729927,1.00639159,1.00765517,1,1,1,1.00788848,1,0,0,0,0,0,0,0,1
appian_t1,q01,1,thc_vs_forward,0.957295374,0.956882241,0.958377405,1,1,1,0.945884246,1,0,0,0,0,1,0,0,1
appian_t1,q01,1,backward_vs_forward,0.978181818,0.975877214,0.975813007,1,1,1,0.969681416,1,0,0,0,0,0,0,0,1
appian_t1,q01,1,full_vs_baseline,0.981818182,0.981464303,0.98052753,1,1,1,0.979851658,1,0,0,0,0,0,0,0,1
appian_t1,q01,2,thc_vs_forward,0.978417266,0.979244418,0.979308016,1,1,1,0.972338723,1,0,0,0,0,1,0,0,1
appian_t1,q01,2,backward_vs_forward,1.00740741,1.00651237,1.00680916,1,1,1,1.00958912,1,0,0,0,0,0,0,0,1
appian_t1,q01,2,full_vs_baseline,1.00740741,1.00580117,1.00662354,1,1,1,1.00537726,1,0,0,0,0,0,0,0,1
appian_t1,q01,3,thc_vs_forward,0.971326165,0.968170559,0.96852287,1,1,1,0.957671715,1,0,0,0,0,1,0,0,1
appian_t1,q01,3,backward_vs_forward,1,0.998676547,0.998321673,1,1,1,0.995828062,1,0,0,0,0,0,0,0,1
appian_t1,q01,3,full_vs_baseline,0.996309963,0.995637629,0.995458665,1,1,1,0.993201825,1,0,0,0,0,0,0,0,1
appian_t1,q01,4,thc_vs_forward,0.974910394,0.973266248,0.974265884,1,1,1,0.965697525,1,0,0,0,0,1,0,0,1
appian_t1,q01,4,backward_vs_forward,1.01115242,1.00936956,1.01002623,1,1,1,1.01363524,1,0,0,0,0,0,0,0,1
appian_t1,q01,4,full_vs_baseline,1.00371747,1.00482191,1.00616036,1,1,1,1.00982274,1,0,0,0,0,0,0,0,1
appian_t1,q01,5,thc_vs_forward,1,1.0019453,1.00153131,1,1,1,0.995245997,1,0,0,0,0,1,0,0,1
appian_t1,q01,5,backward_vs_forward,1.01481481,1.01664457,1.01590841,1,1,1,1.01679916,1,0,0,0,0,0,0,0,1
appian_t1,q01,5,full_vs_baseline,1.01481481,1.01408887,1.01460333,1,1,1,1.01727495,1,0,0,0,0,0,0,0,1
appian_t1,q01,6,thc_vs_forward,0.989130435,0.988170498,0.989392223,1,1,1,0.984502454,1,0,0,0,0,1,0,0,1
appian_t1,q01,6,backward_vs_forward,1.01111111,1.01126141,1.01203035,1,1,1,1.01683534,1,0,0,0,0,0,0,0,1
appian_t1,q01,6,full_vs_baseline,1.00740741,1.00606095,1.00523711,1,1,1,1.00869877,1,0,0,0,0,0,0,0,1
appian_t1,q01,7,thc_vs_forward,0.985663082,0.984556879,0.985199594,1,1,1,0.976916573,1,0,0,0,0,1,0,0,1
appian_t1,q01,7,backward_vs_forward,1.01476015,1.01328589,1.01354091,1,1,1,1.01494266,1,0,0,0,0,0,0,0,1
appian_t1,q01,7,full_vs_baseline,1,1.00154015,1.00181276,1,1,1,1.00225042,1,0,0,0,0,0,0,0,1
appian_t1,q01,8,thc_vs_forward,0.992753623,0.993529826,0.993840105,1,1,1,0.988695927,1,0,0,0,0,1,0,0,1
