dataset_id,benchmark,suite,scale_factor,threads,query,case,case_name,success_count,timeout_count,oom_count,completion_rate,min_runtime,median_runtime_success,p10_runtime_success,p90_runtime_success,iqr_runtime_success,cv_runtime_success,p90_p50,median_capped_runtime,median_regret,p90_regret,within_10pct_oracle_rate,bad_plan_rate_over_2x,best_seed
appian_t1,appian,appian,,1,q01,1,Baseline,20,0,0,1,2.68,2.72,2.7,2.742,0.025,0.00923610151,1.00808824,2.72,0.0149253731,0.0231343284,1,0,10
appian_t1,appian,appian,,1,q01,2,Forward-only,20,0,0,1,2.69,2.72,2.699,2.741,0.0225,0.00639342739,1.00772059,2.72,0.0111524164,0.0189591078,1,0,1
appian_t1,appian,appian,,1,q01,3,THC,20,0,0,1,2.74,2.77,2.749,2.79,0.03,0.00664451557,1.00722022,2.77,0.0109489051,0.0182481752,1,0,5
appian_t1,appian,appian,,1,q01,4,RPT+,20,0,0,1,2.67,2.71,2.69,2.74,0.02,0.00690342691,1.01107011,2.71,0.0149812734,0.0262172285,1,0,9
appian_t1,appian,appian,,1,q02,1,Baseline,20,0,0,1,13.33,13.59,13.429,13.673,0.155,0.00820723572,1.00610743,13.59,0.0195048762,0.0257314329,1,0,11
appian_t1,appian,appian,,1,q02,2,Forward-only,20,0,0,1,13.61,13.825,13.638,13.894,0.15,0.00751713903,1.00499096,13.825,0.0157972079,0.0208670096,1,0,3
appian_t1,appian,appian,,1,q02,3,THC,20,0,0,1,14.35,14.59,14.526,14.81,0.115,0.00793968329,1.01507882,14.59,0.0167247387,0.0320557491,1,0,4
appian_t1,appian,appian,,1,q02,4,RPT+,20,0,0,1,13.6,13.785,13.618,13.902,0.17,0.00770428441,1.00848749,13.785,0.0136029412,0.0222058824,1,0,13
appian_t1,appian,appian,,1,q03,1,Baseline,20,0,0,1,6.27,6.495,6.327,6.825,0.3525,0.0314519939,1.05080831,6.495,0.0358851675,0.0885167464,0.95,0,11
appian_t1,appian,appian,,1,q03,2,Forward-only,20,0,0,1,5.98,6.095,5.98,6.211,0.075,0.0140314375,1.01903199,6.095,0.0192307692,0.0386287625,1,0,4
appian_t1,appian,appian,,1,q03,3,THC,20,0,0,1,6.66,6.805,6.706,6.921,0.125,0.0124569863,1.01704629,6.805,0.0217717718,0.0391891892,1,0,8
appian_t1,appian,appian,,1,q03,4,RPT+,20,0,0,1,5.97,6.07,5.989,6.192,0.0975,0.0138080712,1.02009885,6.07,0.0167504188,0.0371859296,1,0,6
appian_t1,appian,appian,,1,q04,1,Baseline,20,0,0,1,25.35,25.795,25.523,26.193,0.395,0.0105822708,1.01542935,25.795,0.0175542406,0.0332544379,1,0,17
