dataset_id,benchmark,threads,query,eligible_all_20_seeds_successful,median_winner,strict_monotone_1_gt_2_gt_3_gt_4,forward_sufficient_10pct,backward_essential_10pct,thc_regression_10pct,forward_regression_10pct,full_regression_10pct,all_treatments_regress_10pct,thc_approximates_full_when_backward_essential,case1_median,case2_median,case3_median,case4_median
appian_t1,appian,1,q01,1,4,0,0,0,0,0,0,0,0,2.72,2.72,2.77,2.71
appian_t1,appian,1,q02,1,1,0,0,0,0,0,0,0,0,13.59,13.825,14.59,13.785
appian_t1,appian,1,q03,1,4,0,0,0,1,0,0,0,0,6.495,6.095,6.805,6.07
appian_t1,appian,1,q04,1,1,0,0,0,1,0,0,0,0,25.795,25.855,28.615,25.855
appian_t1,appian,1,q05,1,4,0,0,0,0,0,0,0,0,4.845,4.84,5.05,4.82
appian_t1,appian,1,q06,1,1,0,0,0,1,0,0,0,0,7.74,7.77,9.6,7.745
appian_t1,appian,1,q07,1,1,0,0,0,0,0,0,0,0,7.74,7.99,8.42,7.945
appian_t1,appian,1,q08,1,4,0,0,0,0,0,0,0,0,29.69,29.655,30.53,29.635
job_t1,job,1,1a,1,4,0,0,1,0,0,0,0,0,0.39,0.17,0.17,0.15
job_t1,job,1,1b,1,4,0,0,0,0,0,0,0,0,0.36,0.11,0.11,0.1
job_t1,job,1,1c,1,"tie:2,3,4",0,1,0,0,0,0,0,0,0.255,0.21,0.21,0.21
job_t1,job,1,1d,1,"tie:2,4",0,1,0,0,0,0,0,0,0.37,0.11,0.115,0.11
job_t1,job,1,2a,1,4,0,0,1,0,0,0,0,0,0.635,0.36,0.36,0.3
job_t1,job,1,2b,1,4,0,0,1,0,0,0,0,0,0.625,0.34,0.34,0.29
job_t1,job,1,2c,1,4,0,0,1,0,0,0,0,0,0.585,0.09,0.09,0.08
job_t1,job,1,2d,1,4,0,0,1,0,0,0,0,0,0.66,0.545,0.55,0.34
job_t1,job,1,3a,1,4,1,0,1,0,0,0,0,0,1.91,1.3,1.29,1.18
job_t1,job,1,3b,1,1,0,0,0,0,0,0,0,0,0.94,0.99,0.99,0.99
job_t1,job,1,3c,1,4,1,0,1,0,0,0,0,0,2.255,1.41,1.4,1.225
job_t1,job,1,4a,1,4,1,0,1,0,0,0,0,0,0.685,0.42,0.415,0.3
job_t1,job,1,4b,1,"tie:2,3,4",0,1,0,0,0,0,0,0,0.335,0.28,0.28,0.28
job_t1,job,1,4c,1,4,0,0,1,0,0,0,0,0,0.885,0.535,0.54,0.34
job_t1,job,1,5a,1,"tie:2,4",0,1,0,0,0,0,0,0,1.89,0.08,0.085,0.08
job_t1,job,1,5b,1,"tie:2,3,4",0,1,0,0,0,0,0,0,1.21,0.2,0.2,0.2
job_t1,job,1,5c,1,4,0,1,0,0,0,0,0,0,2.21,1.14,1.14,1.11
job_t1,job,1,6a,1,4,0,1,0,0,0,0,0,0,0.68,0.55,0.55,0.53
job_t1,job,1,6b,1,4,1,1,0,0,0,0,0,0,0.73,0.48,0.475,0.46
job_t1,job,1,6c,1,2,0,1,0,0,0,0,0,0,0.665,0.425,0.43,0.43
job_t1,job,1,6d,1,4,0,0,1,0,0,0,0,0,0.94,0.96,0.96,0.55
job_t1,job,1,6e,1,4,1,0,1,0,0,0,0,0,0.68,0.605,0.6,0.435
job_t1,job,1,6f,1,2,0,0,0,1,0,0,0,0,12.775,12.725,15.445,12.925
job_t1,job,1,7a,1,"tie:3,4",0,1,0,0,0,0,0,0,3.175,1.105,1.09,1.09
job_t1,job,1,7b,1,"tie:2,4",0,1,0,0,0,0,0,0,2.845,0.97,0.975,0.97
job_t1,job,1,7c,1,4,0,1,0,0,0,0,0,0,5.7,2.365,2.38,2.35
job_t1,job,1,8a,1,4,0,1,0,0,0,0,0,0,1.43,0.825,0.825,0.79
job_t1,job,1,8b,1,"tie:2,4",0,1,0,0,0,0,0,0,1.255,0.65,0.66,0.65
job_t1,job,1,8c,1,2,0,0,0,0,0,0,0,0,2.585,2.545,2.765,2.55
job_t1,job,1,8d,1,2,0,0,0,0,0,0,0,0,1.165,1.135,1.19,1.14
job_t1,job,1,9a,1,4,1,0,1,0,0,0,0,0,1.655,1.24,1.235,1.055
job_t1,job,1,9b,1,4,1,0,0,0,0,0,0,0,1.845,0.885,0.875,0.84
job_t1,job,1,9c,1,4,0,0,1,0,0,0,0,0,1.78,1.275,1.295,0.925
job_t1,job,1,9d,1,4,0,0,1,0,0,0,0,0,2.115,1.96,1.99,1.445
job_t1,job,1,10a,1,4,1,0,1,0,0,0,0,0,1.395,0.99,0.98,0.84
job_t1,job,1,10b,1,4,0,0,0,0,0,0,0,0,1.205,0.72,0.72,0.68
job_t1,job,1,10c,1,1,0,0,0,0,0,1,0,0,2.295,2.34,2.34,2.845
job_t1,job,1,11a,1,"tie:2,3,4",0,1,0,0,0,0,0,0,0.18,0.14,0.14,0.14
job_t1,job,1,11b,1,1,0,0,0,0,1,1,1,0,0.185,0.27,0.27,0.265
job_t1,job,1,11c,1,4,0,0,0,0,0,0,0,0,0.26,0.17,0.17,0.16
job_t1,job,1,11d,1,4,0,0,1,0,0,0,0,0,0.275,0.235,0.24,0.18
job_t1,job,1,12a,1,4,1,0,1,0,0,0,0,0,0.625,0.325,0.32,0.27
job_t1,job,1,12b,1,4,0,1,0,0,0,0,0,0,0.55,0.32,0.32,0.305
job_t1,job,1,12c,1,4,0,0,1,0,0,0,0,0,0.775,0.45,0.45,0.33
job_t1,job,1,13a,1,4,0,0,0,0,0,0,0,0,3.92,0.555,0.555,0.515
job_t1,job,1,13b,1,4,1,0,1,0,0,0,0,0,1.26,0.305,0.3,0.26
job_t1,job,1,13c,1,4,0,0,1,0,0,0,0,0,1.12,0.24,0.24,0.2
job_t1,job,1,13d,1,2,0,1,0,0,0,0,0,0,3.02,1.17,1.26,1.19
job_t1,job,1,14a,1,4,0,1,0,0,0,0,0,0,2.035,0.24,0.24,0.23
job_t1,job,1,14b,1,"tie:2,3,4",0,1,0,0,0,0,0,0,1.825,0.24,0.24,0.24
job_t1,job,1,14c,1,4,0,0,1,0,0,0,0,0,2.255,0.4,0.41,0.32
job_t1,job,1,15a,1,4,0,0,0,0,0,0,0,0,1.49,0.9,0.905,0.83
job_t1,job,1,15b,1,4,1,0,0,0,0,0,0,0,1.38,0.71,0.69,0.665
