dataset_id,benchmark,suite,scale_factor,threads,query,comparison,base_case,treatment_case,paired_success_count,treatment_completion_win_count,treatment_completion_loss_count,both_failed_count,median_speedup,geomean_speedup,p10_speedup,p90_speedup,treatment_win_rate_paired,tie_rate_paired,helped_at_least_10pct_rate,hurt_at_least_10pct_rate,at_least_2x_speedup_rate
appian_t1,appian,appian,,1,q01,forward_vs_baseline,1,2,20,0,0,0,1,1.00071297,0.985438503,1.01188219,0.35,0.25,0,0,0
appian_t1,appian,appian,,1,q01,thc_vs_baseline,1,3,20,0,0,0,0.983760817,0.982838233,0.967741935,0.996715328,0.05,0.05,0,0,0
appian_t1,appian,appian,,1,q01,full_vs_baseline,1,4,20,0,0,0,1.00371059,1.0049629,0.992234432,1.01525556,0.65,0.15,0,0,0
appian_t1,appian,appian,,1,q01,thc_vs_forward,2,3,20,0,0,0,0.985428003,0.982138002,0.971326165,0.992756239,0,0.05,0,0,0
appian_t1,appian,appian,,1,q01,backward_vs_forward,2,4,20,0,0,0,1.00551486,1.0042469,0.995620438,1.01476561,0.65,0.2,0,0,0
appian_t1,appian,appian,,1,q01,full_vs_thc,3,4,20,0,0,0,1.02214022,1.02251099,1.01474933,1.03029963,1,0,0,0,0
appian_t1,appian,appian,,1,q02,forward_vs_baseline,1,2,20,0,0,0,0.984454796,0.983420997,0.971074804,0.997951773,0.05,0,0,0,0
appian_t1,appian,appian,,1,q02,thc_vs_baseline,1,3,20,0,0,0,0.927831885,0.927233309,0.912446632,0.941848007,0,0,0,0,0
appian_t1,appian,appian,,1,q02,full_vs_baseline,1,4,20,0,0,0,0.98695599,0.98445777,0.96863759,0.997948449,0.05,0,0,0,0
appian_t1,appian,appian,,1,q02,thc_vs_forward,2,3,20,0,0,0,0.944330601,0.942865072,0.933340177,0.955455947,0,0,0,0,0
appian_t1,appian,appian,,1,q02,backward_vs_forward,2,4,20,0,0,0,0.999639769,1.00105425,0.989800908,1.01727187,0.45,0.05,0,0,0
appian_t1,appian,appian,,1,q02,full_vs_thc,3,4,20,0,0,0,1.0631136,1.06171528,1.04904902,1.07632426,1,0,0,0,0
appian_t1,appian,appian,,1,q03,forward_vs_baseline,1,2,20,0,0,0,1.06403471,1.07540241,1.01867748,1.14130435,1,0,0.35,0,0
appian_t1,appian,appian,,1,q03,thc_vs_baseline,1,3,20,0,0,0,0.958365395,0.96410418,0.925583524,1.01364856,0.25,0,0,0,0
appian_t1,appian,appian,,1,q03,full_vs_baseline,1,4,20,0,0,0,1.07489513,1.07725328,1.02701944,1.14058944,1,0,0.3,0,0
appian_t1,appian,appian,,1,q03,thc_vs_forward,2,3,20,0,0,0,0.896896163,0.8965055,0.879650128,0.910565215,0,0,0,0.75,0
appian_t1,appian,appian,,1,q03,backward_vs_forward,2,4,20,0,0,0,1.00415434,1.00172109,0.976945917,1.02371486,0.6,0.05,0,0,0
appian_t1,appian,appian,,1,q03,full_vs_thc,3,4,20,0,0,0,1.12220971,1.1173619,1.08539703,1.14303059,1,0,0.8,0,0
appian_t1,appian,appian,,1,q04,forward_vs_baseline,1,2,20,0,0,0,0.994007373,0.998794557,0.980169059,1.01683627,0.4,0,0,0,0
appian_t1,appian,appian,,1,q04,thc_vs_baseline,1,3,20,0,0,0,0.898584508,0.903122853,0.88814355,0.923332698,0,0,0,0.6,0
appian_t1,appian,appian,,1,q04,full_vs_baseline,1,4,20,0,0,0,0.998101951,0.997739652,0.98409497,1.01082582,0.5,0,0,0,0
appian_t1,appian,appian,,1,q04,thc_vs_forward,2,3,20,0,0,0,0.903639644,0.90421283,0.893943519,0.915581466,0,0,0,0.7,0
appian_t1,appian,appian,,1,q04,backward_vs_forward,2,4,20,0,0,0,0.998435347,0.998943822,0.981548732,1.01301009,0.5,0,0,0,0
appian_t1,appian,appian,,1,q04,full_vs_thc,3,4,20,0,0,0,1.10232168,1.10476625,1.09121067,1.12505717,1,0,0.55,0,0
appian_t1,appian,appian,,1,q05,forward_vs_baseline,1,2,20,0,0,0,1.00416237,1.00392013,0.989494656,1.01496493,0.6,0.05,0,0,0
appian_t1,appian,appian,,1,q05,thc_vs_baseline,1,3,20,0,0,0,0.961309524,0.960330839,0.950064847,0.974385714,0,0,0,0,0
appian_t1,appian,appian,,1,q05,full_vs_baseline,1,4,20,0,0,0,1.00628273,1.00704826,0.993813155,1.01729167,0.75,0.05,0,0,0
appian_t1,appian,appian,,1,q05,thc_vs_forward,2,3,20,0,0,0,0.957800763,0.956580916,0.944401564,0.964484127,0,0,0,0,0
appian_t1,appian,appian,,1,q05,backward_vs_forward,2,4,20,0,0,0,1.00207259,1.00311591,0.991528926,1.01673991,0.65,0.1,0,0,0
appian_t1,appian,appian,,1,q05,full_vs_thc,3,4,20,0,0,0,1.04554885,1.04864721,1.04099537,1.0571934,1,0,0,0,0
appian_t1,appian,appian,,1,q06,forward_vs_baseline,1,2,20,0,0,0,0.996788263,0.996454128,0.984325988,1.00643584,0.35,0.05,0,0,0
appian_t1,appian,appian,,1,q06,thc_vs_baseline,1,3,20,0,0,0,0.808701447,0.808009081,0.793686115,0.820744011,0,0,0,1,0
appian_t1,appian,appian,,1,q06,full_vs_baseline,1,4,20,0,0,0,1,0.999503916,0.988126433,1.01448475,0.45,0.1,0,0,0
appian_t1,appian,appian,,1,q06,thc_vs_forward,2,3,20,0,0,0,0.811490198,0.810884373,0.797480923,0.823229039,0,0,0,1,0
appian_t1,appian,appian,,1,q06,backward_vs_forward,2,4,20,0,0,0,1.00128866,1.00306064,0.989348931,1.01575963,0.5,0.1,0,0,0
appian_t1,appian,appian,,1,q06,full_vs_thc,3,4,20,0,0,0,1.23730116,1.2369959,1.21887495,1.25791587,1,0,1,0,0
appian_t1,appian,appian,,1,q07,forward_vs_baseline,1,2,20,0,0,0,0.969238153,0.969870517,0.951416195,0.985062298,0,0,0,0,0
appian_t1,appian,appian,,1,q07,thc_vs_baseline,1,3,20,0,0,0,0.919643958,0.920790491,0.907151231,0.936486451,0,0,0,0.15,0
appian_t1,appian,appian,,1,q07,full_vs_baseline,1,4,20,0,0,0,0.972344339,0.975003512,0.953940794,0.98995137,0.05,0,0,0,0
appian_t1,appian,appian,,1,q07,thc_vs_forward,2,3,20,0,0,0,0.947618379,0.94939528,0.936694021,0.962627968,0,0,0,0,0
appian_t1,appian,appian,,1,q07,backward_vs_forward,2,4,20,0,0,0,1.00313913,1.00529245,0.991182371,1.01695388,0.8,0,0,0,0
appian_t1,appian,appian,,1,q07,full_vs_thc,3,4,20,0,0,0,1.0590469,1.05887661,1.04528044,1.07253225,1,0,0,0,0
appian_t1,appian,appian,,1,q08,forward_vs_baseline,1,2,20,0,0,0,0.991951524,0.995512051,0.982150522,1.00840753,0.35,0,0,0,0
appian_t1,appian,appian,,1,q08,thc_vs_baseline,1,3,20,0,0,0,0.964655832,0.967249973,0.947038058,0.989355462,0.05,0,0,0,0
appian_t1,appian,appian,,1,q08,full_vs_baseline,1,4,20,0,0,0,1.00052749,0.999063758,0.980345582,1.01755657,0.5,0,0,0,0
appian_t1,appian,appian,,1,q08,thc_vs_forward,2,3,20,0,0,0,0.97145157,0.971610512,0.947714503,0.997786206,0.1,0,0,0,0
appian_t1,appian,appian,,1,q08,backward_vs_forward,2,4,20,0,0,0,1.0042599,1.00356772,0.975929968,1.02097508,0.7,0,0,0,0
appian_t1,appian,appian,,1,q08,full_vs_thc,3,4,20,0,0,0,1.03494547,1.03289096,1.00576758,1.05344941,0.95,0,0,0,0
job_t1,job,job,,1,1a,forward_vs_baseline,1,2,20,0,0,0,2.4375,2.55099577,1.23676471,3.75147059,1,0,1,0,0.85
job_t1,job,job,,1,1a,thc_vs_baseline,1,3,20,0,0,0,2.40625,2.55829674,1.24375,3.94375,1,0,1,0,0.85
