commit,Benchmark,Thread Count,Runtimes,Profiling,Boxplots
bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,appian,1,appian_runtimes_20260701_163253,profiling_20260701_163253,boxplots_appian_runtimes_20260701_163253
bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,job,1,job_runtimes_20260701_184720,profiling_20260701_184720,boxplots_job_runtimes_20260701_184720
bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,TPCH SF10,1,tpch_runtimes_sf10_20260702_030618.csv,profiling_20260702_030618,boxplots_tpch_runtimes_sf10_20260702_030618
bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,TPCH SF20,1,tpch_runtimes_sf20_20260702_070441.csv,profiling_20260702_070441,boxplots_tpch_runtimes_sf20_20260702_070441
bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,TPCH SF50,1,tpch_runtimes_sf50_20260702_130803.csv,profiling_20260702_130803,boxplots_tpch_runtimes_sf50_20260702_130803
bde1b45f061a2dd4c33a319717a7eeaca7f3cad3,TPCH SF100,1,tpch_runtimes_sf100_20260703_013648.csv,profiling_20260703_013648,boxplots_tpch_runtimes_sf100_20260703_013648
9f07e58ee7,TPCDS SF10,1,tpcds_runtimes_sf10_20260713_145050,profiling_20260713_145050,boxplots_tpcds_runtimes_sf10_20260713_145050
9f07e58ee7,TPCDS SF20,1,tpcds_runtimes_sf20_20260714_064547,profiling_20260714_064547,boxplots_tpcds_runtimes_sf20_20260714_064547
9f07e58ee7,TPCDS SF50,1,tpcds_runtimes_sf50_20260715_004542,profiling_20260715_004542,boxplots_tpcds_runtimes_sf50_20260715_004542
9f07e58ee7,TPCDS SF100,1,tpcds_runtimes_sf100_20260716_113052,profiling_20260716_113052,boxplots_tpcds_runtimes_sf100_20260716_113052
d043edd72e617b0612ba800835c7450c94e60ca6,appian,8,appian_runtimes_20260708_145930,profiling_20260708_145930,boxplots_appian_runtimes_20260708_145930
d043edd72e617b0612ba800835c7450c94e60ca6,job,8,job_runtimes_20260708_152242,profiling_20260708_152242,boxplots_job_runtimes_20260708_152242
d043edd72e617b0612ba800835c7450c94e60ca6,TPCH SF10,8,tpch_runtimes_sf10_20260708_170155,profiling_20260708_170155,boxplots_tpch_runtimes_sf10_20260708_170155
d043edd72e617b0612ba800835c7450c94e60ca6,TPCH SF20,8,tpch_runtimes_sf20_20260708_192317,profiling_20260708_192317,boxplots_tpch_runtimes_sf20_20260708_192317
d043edd72e617b0612ba800835c7450c94e60ca6,TPCH SF50,8,tpch_runtimes_sf50_20260708_220146,profiling_20260708_220146,boxplots_tpch_runtimes_sf50_20260708_220146
d043edd72e617b0612ba800835c7450c94e60ca6,TPCH SF100,8,tpch_runtimes_sf100_20260709_013449,profiling_20260709_013449,boxplots_tpch_runtimes_sf100_20260709_013449
d043edd72e617b0612ba800835c7450c94e60ca6,TPCDS SF10,8,tpcds_runtimes_sf10_20260709_064159,profiling_20260709_064159,boxplots_tpcds_runtimes_sf10_20260709_064159
d043edd72e617b0612ba800835c7450c94e60ca6,TPCDS SF20,8,tpcds_runtimes_sf20_20260709_165540,profiling_20260709_165540,boxplots_tpcds_runtimes_sf20_20260709_165540
d043edd72e617b0612ba800835c7450c94e60ca6,TPCDS SF50,8,tpcds_runtimes_sf50_20260710_020719,profiling_20260710_020719,boxplots_tpcds_runtimes_sf50_20260710_020719
d043edd72e617b0612ba800835c7450c94e60ca6,TPCDS SF100,8,tpcds_runtimes_sf100_20260710_151859,profiling_20260710_151859,boxplots_tpcds_runtimes_sf100_20260710_151859
b0b9a94fe5,appian,64,appian_runtimes_20260704_180605,profiling_20260704_180605,boxplots_appian_runtimes_20260704_180605
b0b9a94fe5,job,64,job_runtimes_20260704_181648,profiling_20260704_181648,boxplots_job_runtimes_20260704_181648
b0b9a94fe5,TPCH SF10,64,tpch_runtimes_sf10_20260704_194639,profiling_20260704_194639,boxplots_tpch_runtimes_sf10_20260704_194639
b0b9a94fe5,TPCH SF20,64,tpch_runtimes_sf20_20260704_213955,profiling_20260704_213955,boxplots_tpch_runtimes_sf20_20260704_213955
b0b9a94fe5,TPCH SF50,64,tpch_runtimes_sf50_20260705_001105,profiling_20260705_001105,boxplots_tpch_runtimes_sf50_20260705_001105
b0b9a94fe5,TPCH SF100,64,tpch_runtimes_sf100_20260705_031540,profiling_20260705_031540,boxplots_tpch_runtimes_sf100_20260705_031540
6e24bd2df0,TPCDS SF10,64,tpcds_runtimes_sf10_20260706_022300,profiling_20260706_022300,boxplots_tpcds_runtimes_sf10_20260706_022300
6e24bd2df0,TPCDS SF20,64,tpcds_runtimes_sf20_20260706_123535,profiling_20260706_123535,boxplots_tpcds_runtimes_sf20_20260706_123535
6e24bd2df0,TPCDS SF50,64,tpcds_runtimes_sf50_20260706_212742,profiling_20260706_212742,boxplots_tpcds_runtimes_sf50_20260706_212742
6e24bd2df0,TPCDS SF100,64,tpcds_runtimes_sf100_20260707_090359,profiling_20260707_090359,boxplots_tpcds_runtimes_sf100_20260707_090359
